src,tar,is_net
_16613_/A1,_16613_/ZN,0
_16613_/A2,_16613_/ZN,0
_16614_/A1,_16614_/ZN,0
_16614_/A2,_16614_/ZN,0
_16615_/A1,_16615_/ZN,0
_16615_/A2,_16615_/ZN,0
_16616_/A1,_16616_/ZN,0
_16616_/A2,_16616_/ZN,0
_16616_/A3,_16616_/ZN,0
_16618_/A1,_16618_/ZN,0
_16618_/A2,_16618_/ZN,0
_16618_/A3,_16618_/ZN,0
_16618_/B1,_16618_/ZN,0
_16618_/B2,_16618_/ZN,0
_16618_/B3,_16618_/ZN,0
_16622_/A1,_16622_/ZN,0
_16622_/A2,_16622_/ZN,0
_16623_/A1,_16623_/ZN,0
_16623_/A2,_16623_/ZN,0
_16625_/A1,_16625_/ZN,0
_16625_/A2,_16625_/ZN,0
_16625_/A3,_16625_/ZN,0
_16626_/A1,_16626_/ZN,0
_16626_/A2,_16626_/ZN,0
_16627_/A1,_16627_/ZN,0
_16627_/A2,_16627_/ZN,0
_16627_/A3,_16627_/ZN,0
_16628_/A,_16628_/ZN,0
_16628_/B1,_16628_/ZN,0
_16628_/B2,_16628_/ZN,0
_16629_/A1,_16629_/ZN,0
_16629_/A2,_16629_/ZN,0
_16630_/A,_16630_/Z,0
_16630_/B,_16630_/Z,0
_16630_/S,_16630_/Z,0
_16631_/A,_16631_/ZN,0
_16631_/B1,_16631_/ZN,0
_16631_/B2,_16631_/ZN,0
_16632_/A1,_16632_/ZN,0
_16632_/A2,_16632_/ZN,0
_16634_/A1,_16634_/ZN,0
_16634_/A2,_16634_/ZN,0
_16634_/A3,_16634_/ZN,0
_16636_/A1,_16636_/ZN,0
_16636_/A2,_16636_/ZN,0
_16636_/A3,_16636_/ZN,0
_16637_/A1,_16637_/ZN,0
_16637_/A2,_16637_/ZN,0
_16637_/A3,_16637_/ZN,0
_16637_/A4,_16637_/ZN,0
_16638_/A1,_16638_/ZN,0
_16638_/A2,_16638_/ZN,0
_16639_/A1,_16639_/ZN,0
_16639_/A2,_16639_/ZN,0
_16640_/A,_16640_/ZN,0
_16640_/B1,_16640_/ZN,0
_16640_/B2,_16640_/ZN,0
_16641_/A1,_16641_/ZN,0
_16641_/A2,_16641_/ZN,0
_16642_/A1,_16642_/ZN,0
_16642_/A2,_16642_/ZN,0
_16643_/A1,_16643_/ZN,0
_16643_/A2,_16643_/ZN,0
_16644_/A1,_16644_/ZN,0
_16644_/A2,_16644_/ZN,0
_16645_/A,_16645_/ZN,0
_16645_/B1,_16645_/ZN,0
_16645_/B2,_16645_/ZN,0
_16645_/C1,_16645_/ZN,0
_16645_/C2,_16645_/ZN,0
_16646_/A1,_16646_/ZN,0
_16646_/A2,_16646_/ZN,0
_16646_/A3,_16646_/ZN,0
_16647_/A1,_16647_/ZN,0
_16647_/A2,_16647_/ZN,0
_16648_/A1,_16648_/ZN,0
_16648_/A2,_16648_/ZN,0
_16649_/A1,_16649_/ZN,0
_16649_/A2,_16649_/ZN,0
_16649_/A3,_16649_/ZN,0
_16650_/A1,_16650_/ZN,0
_16650_/A2,_16650_/ZN,0
_16650_/A3,_16650_/ZN,0
_16651_/A,_16651_/ZN,0
_16651_/B1,_16651_/ZN,0
_16651_/B2,_16651_/ZN,0
_16652_/A1,_16652_/ZN,0
_16652_/A2,_16652_/ZN,0
_16652_/A3,_16652_/ZN,0
_16653_/A1,_16653_/ZN,0
_16653_/A2,_16653_/ZN,0
_16653_/A3,_16653_/ZN,0
_16653_/A4,_16653_/ZN,0
_16656_/A1,_16656_/ZN,0
_16656_/A2,_16656_/ZN,0
_16660_/A,_16660_/ZN,0
_16660_/B1,_16660_/ZN,0
_16660_/B2,_16660_/ZN,0
_16661_/A1,_16661_/ZN,0
_16661_/A2,_16661_/ZN,0
_16661_/A3,_16661_/ZN,0
_16662_/A1,_16662_/ZN,0
_16662_/A2,_16662_/ZN,0
_16662_/A3,_16662_/ZN,0
_16663_/A1,_16663_/ZN,0
_16663_/A2,_16663_/ZN,0
_16663_/A3,_16663_/ZN,0
_16668_/A1,_16668_/ZN,0
_16668_/A2,_16668_/ZN,0
_16669_/A1,_16669_/ZN,0
_16669_/A2,_16669_/ZN,0
_16669_/A3,_16669_/ZN,0
_16670_/A,_16670_/ZN,0
_16670_/B1,_16670_/ZN,0
_16670_/B2,_16670_/ZN,0
_16674_/A,_16674_/ZN,0
_16674_/B1,_16674_/ZN,0
_16674_/B2,_16674_/ZN,0
_16676_/A1,_16676_/ZN,0
_16676_/A2,_16676_/ZN,0
_16676_/A3,_16676_/ZN,0
_16677_/A1,_16677_/ZN,0
_16677_/A2,_16677_/ZN,0
_16677_/A3,_16677_/ZN,0
_16678_/A,_16678_/ZN,0
_16678_/B,_16678_/ZN,0
_16679_/A1,_16679_/ZN,0
_16679_/A2,_16679_/ZN,0
_16680_/A1,_16680_/ZN,0
_16680_/A2,_16680_/ZN,0
_16681_/A,_16681_/ZN,0
