libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay
sram_asap7_64x64_1rw,0,140448000,2.499999956129175e-14,0.00012889999197795987,2.1799999305738282e-10,2.1799999305738282e-10
A2O1A1Ixp33_ASAP7_75t_R,1,87480,6.317369714573993e-16,0.0,2.0650410201272784e-11,2.2657355158717252e-11
A2O1A1O1Ixp25_ASAP7_75t_R,2,131220,6.760200127585317e-16,0.0,2.6972892669396842e-11,3.071793167053194e-11
AND2x2_ASAP7_75t_R,3,87480,5.65708000361848e-16,1.74628991822523e-10,1.6822805301575094e-11,1.8116945443846788e-11
AND2x4_ASAP7_75t_R,3,145800,1.1021600121211244e-15,3.49257983645046e-10,1.663371350379972e-11,1.495740337142948e-11
AND2x6_ASAP7_75t_R,3,174960,1.1028200625452724e-15,4.841260170529438e-10,1.8647196634025143e-11,1.752046251135564e-11
AND3x1_ASAP7_75t_R,4,87480,6.378089800793509e-16,9.956199753524686e-11,2.5714251908337538e-11,2.6382954848580553e-11
AND3x2_ASAP7_75t_R,4,102060,6.378479965344838e-16,1.6699600036140794e-10,2.593016426577499e-11,2.6370289632482447e-11
AND3x4_ASAP7_75t_R,4,204120,1.0673700396367854e-15,3.328009812175736e-10,2.4512345278560055e-11,2.269529529586034e-11
AND4x1_ASAP7_75t_R,5,102060,6.422529913766798e-16,9.640310077996261e-11,3.202501805410485e-11,3.268818549173602e-11
AND4x2_ASAP7_75t_R,5,116640,6.415209960915745e-16,1.6383699952271513e-10,3.2787147996593546e-11,3.324791483794165e-11
AND5x1_ASAP7_75t_R,6,116640,5.550959480821725e-16,9.416300378317644e-11,3.81645270941533e-11,3.982173965577651e-11
AND5x2_ASAP7_75t_R,6,291600,1.0676399255096043e-15,1.876639954545567e-10,3.803742737451543e-11,3.528181219403237e-11
AO211x2_ASAP7_75t_R,7,233280,9.990399976608994e-16,1.3387299602207747e-10,2.3747899480230927e-11,2.179999583629133e-11
AO21x1_ASAP7_75t_R,8,87480,6.344629881794596e-16,9.787790022919296e-11,1.8710661492393754e-11,1.9472638779216567e-11
AO21x2_ASAP7_75t_R,8,102060,6.358109881754556e-16,1.1732199933778276e-10,1.879016386929777e-11,1.9276956766955955e-11
AO221x1_ASAP7_75t_R,9,145800,5.70434973603119e-16,9.396179667664484e-11,2.454205588753311e-11,2.6430595559401304e-11
AO221x2_ASAP7_75t_R,9,160380,5.706289970875994e-16,1.1340599986864319e-10,2.5973338063645102e-11,2.7278007977415974e-11
AO222x2_ASAP7_75t_R,10,174960,6.523630178164295e-16,1.3682499577782892e-10,3.237467585681664e-11,3.299832629366506e-11
AO22x1_ASAP7_75t_R,11,131220,4.661290071376195e-16,6.297549981493233e-11,1.9960384040063062e-11,2.2949461775390034e-11
AO22x2_ASAP7_75t_R,11,145800,6.487659865267957e-16,1.0417899876102865e-10,1.9492111050234406e-11,2.0272837228385576e-11
AO31x2_ASAP7_75t_R,12,233280,1.2366100812343916e-15,1.3079300142937456e-10,2.2109222438948528e-11,1.853791946337946e-11
AO322x2_ASAP7_75t_R,13,218700,6.260419983760942e-16,1.132920007806959e-10,3.329770834059609e-11,3.378907570406042e-11
AO32x1_ASAP7_75t_R,14,116640,5.559329754527373e-16,7.14397985213111e-11,2.5318096577575666e-11,2.6767688759976593e-11
AO32x2_ASAP7_75t_R,14,131220,5.619220277854173e-16,9.088420294123267e-11,2.7237391161949454e-11,2.8220436404380322e-11
AO331x1_ASAP7_75t_R,15,145800,6.685079951866885e-16,1.262430021631289e-10,3.196158268603533e-11,3.2833284702160626e-11
AO331x2_ASAP7_75t_R,15,160380,6.675379836434047e-16,1.4568699024941623e-10,3.2870185739941604e-11,3.3488930378799964e-11
AO332x1_ASAP7_75t_R,16,160380,6.548130076768034e-16,1.1309999464748088e-10,3.46714011667526e-11,3.561466746515585e-11
