cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
dpath.a_reg.out\[10\]$_DFFE_PP_,1,0,1,6750,7830,7938,8100,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946906791914245e-10,5.777604656032054e-06
dpath.a_reg.out\[11\]$_DFFE_PP_,1,0,1,7830,1620,9018,1890,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1992536958226339e-10,5.838224751641974e-06
dpath.a_reg.out\[12\]$_DFFE_PP_,1,0,1,6318,1620,7506,1890,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1907842207014028e-10,5.974617124593351e-06
dpath.a_reg.out\[13\]$_DFFE_PP_,1,0,1,11340,4590,12528,4860,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1987181519911303e-10,5.84170084039215e-06
dpath.a_reg.out\[14\]$_DFFE_PP_,1,0,1,11772,3240,12960,3510,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1987119069866168e-10,5.845578016305808e-06
dpath.a_reg.out\[15\]$_DFFE_PP_,1,0,1,9396,1620,10584,1890,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1907806124765727e-10,5.980824880680302e-06
dpath.a_reg.out\[1\]$_DFFE_PP_,1,0,1,4860,7020,5994,7290,0,0,0,DFFHQNx2_ASAP7_75t_R,1.8617912767027178e-10,5.76645015826216e-06
dpath.a_reg.out\[2\]$_DFFE_PP_,1,0,1,2862,8910,4050,9180,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946777728487632e-10,5.773931206931593e-06
dpath.a_reg.out\[3\]$_DFFE_PP_,1,0,1,2592,10530,3780,10800,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946877648559848e-10,5.782218977401499e-06
dpath.a_reg.out\[4\]$_DFFE_PP_,1,0,1,3996,12420,5184,12690,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946894301905218e-10,5.795467586722225e-06
