src,tar,src_type,tar_type
if_stage_i.pc_id_o\[6\]$_DFFE_PN_,_21039_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[7\]$_DFFE_PN_,_20324_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[7\]$_DFFE_PN_,_19536_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[7\]$_DFFE_PN_,_19478_,cell,cell
if_stage_i.instr_rdata_c_id_o\[7\]$_DFFE_PN_,_34513_,cell,cell
if_stage_i.instr_rdata_c_id_o\[7\]$_DFFE_PN_,_27524_,cell,cell
if_stage_i.pc_id_o\[7\]$_DFFE_PN_,_21098_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[8\]$_DFFE_PN_,_27534_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[8\]$_DFFE_PN_,_19647_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[8\]$_DFFE_PN_,_19536_,cell,cell
if_stage_i.instr_rdata_c_id_o\[8\]$_DFFE_PN_,_34515_,cell,cell
if_stage_i.instr_rdata_c_id_o\[8\]$_DFFE_PN_,_27536_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_34580_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_27542_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_27533_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_27274_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_26662_,cell,cell
if_stage_i.pc_id_o\[8\]$_DFFE_PN_,_21183_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[9\]$_DFFE_PN_,_31281_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[9\]$_DFFE_PN_,_30607_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[9\]$_DFFE_PN_,_29905_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[9\]$_DFFE_PN_,_27544_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[9\]$_DFFE_PN_,_19654_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[9\]$_DFFE_PN_,_19537_,cell,cell
if_stage_i.instr_rdata_c_id_o\[9\]$_DFFE_PN_,_34517_,cell,cell
if_stage_i.instr_rdata_c_id_o\[9\]$_DFFE_PN_,_27546_,cell,cell
if_stage_i.pc_id_o\[9\]$_DFFE_PN_,_34582_,cell,cell
if_stage_i.pc_id_o\[9\]$_DFFE_PN_,_27543_,cell,cell
if_stage_i.pc_id_o\[9\]$_DFFE_PN_,_27274_,cell,cell
if_stage_i.pc_id_o\[9\]$_DFFE_PN_,_26667_,cell,cell
if_stage_i.pc_id_o\[9\]$_DFFE_PN_,_21256_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[10\]$_DFFE_PN_,_19534_,cell,cell
if_stage_i.instr_rdata_c_id_o\[10\]$_DFFE_PN_,_34489_,cell,cell
if_stage_i.instr_rdata_c_id_o\[10\]$_DFFE_PN_,_27267_,cell,cell
if_stage_i.pc_id_o\[10\]$_DFFE_PN_,_21328_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[11\]$_DFFE_PN_,_31281_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[11\]$_DFFE_PN_,_30954_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[11\]$_DFFE_PN_,_30607_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[11\]$_DFFE_PN_,_27867_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[11\]$_DFFE_PN_,_27292_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[11\]$_DFFE_PN_,_19801_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[11\]$_DFFE_PN_,_19536_,cell,cell
if_stage_i.instr_rdata_c_id_o\[11\]$_DFFE_PN_,_34491_,cell,cell
if_stage_i.instr_rdata_c_id_o\[11\]$_DFFE_PN_,_27294_,cell,cell
if_stage_i.pc_id_o\[11\]$_DFFE_PN_,_20435_,cell,cell
if_stage_i.instr_rdata_c_id_o\[12\]$_DFFE_PN_,_34493_,cell,cell
if_stage_i.instr_rdata_c_id_o\[12\]$_DFFE_PN_,_27303_,cell,cell
if_stage_i.pc_id_o\[12\]$_DFFE_PN_,_34523_,cell,cell
if_stage_i.pc_id_o\[12\]$_DFFE_PN_,_27310_,cell,cell
if_stage_i.pc_id_o\[12\]$_DFFE_PN_,_27301_,cell,cell
if_stage_i.pc_id_o\[12\]$_DFFE_PN_,_26508_,cell,cell
if_stage_i.pc_id_o\[12\]$_DFFE_PN_,_19330_,cell,cell
if_stage_i.instr_rdata_alu_id_o\[13\]$_DFFE_PN_,_19283_,cell,cell
if_stage_i.instr_rdata_c_id_o\[13\]$_DFFE_PN_,_34495_,cell,cell
if_stage_i.instr_rdata_c_id_o\[13\]$_DFFE_PN_,_27308_,cell,cell
if_stage_i.pc_id_o\[13\]$_DFFE_PN_,_21542_,cell,cell
if_stage_i.instr_rdata_c_id_o\[14\]$_DFFE_PN_,_34497_,cell,cell
if_stage_i.instr_rdata_c_id_o\[14\]$_DFFE_PN_,_27327_,cell,cell
if_stage_i.pc_id_o\[14\]$_DFFE_PN_,_21709_,cell,cell
if_stage_i.instr_rdata_c_id_o\[15\]$_DFFE_PN_,_34499_,cell,cell
if_stage_i.instr_rdata_c_id_o\[15\]$_DFFE_PN_,_27334_,cell,cell
if_stage_i.pc_id_o\[15\]$_DFFE_PN_,_21834_,cell,cell
if_stage_i.pc_id_o\[16\]$_DFFE_PN_,_34532_,cell,cell
if_stage_i.pc_id_o\[16\]$_DFFE_PN_,_27361_,cell,cell
if_stage_i.pc_id_o\[16\]$_DFFE_PN_,_27352_,cell,cell
if_stage_i.pc_id_o\[16\]$_DFFE_PN_,_27343_,cell,cell
if_stage_i.pc_id_o\[16\]$_DFFE_PN_,_26533_,cell,cell
if_stage_i.pc_id_o\[16\]$_DFFE_PN_,_21995_,cell,cell
if_stage_i.pc_id_o\[17\]$_DFFE_PN_,_22113_,cell,cell
if_stage_i.pc_id_o\[18\]$_DFFE_PN_,_22249_,cell,cell
if_stage_i.pc_id_o\[19\]$_DFFE_PN_,_22362_,cell,cell
if_stage_i.pc_id_o\[20\]$_DFFE_PN_,_22491_,cell,cell
if_stage_i.pc_id_o\[21\]$_DFFE_PN_,_34546_,cell,cell
if_stage_i.pc_id_o\[21\]$_DFFE_PN_,_27401_,cell,cell
if_stage_i.pc_id_o\[21\]$_DFFE_PN_,_27393_,cell,cell
if_stage_i.pc_id_o\[21\]$_DFFE_PN_,_26575_,cell,cell
if_stage_i.pc_id_o\[21\]$_DFFE_PN_,_22611_,cell,cell
if_stage_i.pc_id_o\[22\]$_DFFE_PN_,_22744_,cell,cell
if_stage_i.pc_id_o\[23\]$_DFFE_PN_,_22864_,cell,cell
if_stage_i.pc_id_o\[24\]$_DFFE_PN_,_22995_,cell,cell
if_stage_i.pc_id_o\[25\]$_DFFE_PN_,_34554_,cell,cell
if_stage_i.pc_id_o\[25\]$_DFFE_PN_,_27432_,cell,cell
if_stage_i.pc_id_o\[25\]$_DFFE_PN_,_27426_,cell,cell
if_stage_i.pc_id_o\[25\]$_DFFE_PN_,_26594_,cell,cell
if_stage_i.pc_id_o\[25\]$_DFFE_PN_,_23111_,cell,cell
if_stage_i.pc_id_o\[26\]$_DFFE_PN_,_23241_,cell,cell
if_stage_i.pc_id_o\[27\]$_DFFE_PN_,_23357_,cell,cell
if_stage_i.pc_id_o\[28\]$_DFFE_PN_,_23491_,cell,cell
if_stage_i.pc_id_o\[29\]$_DFFE_PN_,_34562_,cell,cell
