src,tar,src_type,tar_type,is_net,arc_delay
_12702_/A1,_12702_/Y,pin,pin,0,9.30245880326197e-10
_12702_/A2,_12702_/Y,pin,pin,0,8.196182066377844e-10
_12702_/B1,_12702_/Y,pin,pin,0,4.22766183172385e-10
_12703_/A,_12703_/Y,pin,pin,0,2.872654891739046e-10
_12705_/A,_12705_/Y,pin,pin,0,7.518747430212969e-11
_12708_/A,_12708_/X,pin,pin,0,4.789705299046432e-10
_12708_/B,_12708_/X,pin,pin,0,4.597076053158844e-10
_12708_/C,_12708_/X,pin,pin,0,3.469943776757134e-10
_12709_/A,_12709_/X,pin,pin,0,4.376399243000151e-10
_12709_/B,_12709_/X,pin,pin,0,3.998110731373572e-10
_12709_/C,_12709_/X,pin,pin,0,2.943696952861785e-10
_12711_/A0,_12711_/Y,pin,pin,0,8.325185540947189e-10
_12711_/A1,_12711_/Y,pin,pin,0,8.056211808771252e-10
_12711_/S,_12711_/Y,pin,pin,0,9.277204560120822e-10
_12712_/A,_12712_/Y,pin,pin,0,4.1359116131900464e-10
_12716_/A,_12716_/Y,pin,pin,0,1.5554139920492815e-10
_12718_/A,_12718_/X,pin,pin,0,5.384958035037357e-10
_12718_/B,_12718_/X,pin,pin,0,4.326468350246415e-10
_12718_/C,_12718_/X,pin,pin,0,2.952961764002282e-10
_12719_/A,_12719_/X,pin,pin,0,5.849581374839374e-10
_12719_/B,_12719_/X,pin,pin,0,5.400121461107688e-10
_12719_/C,_12719_/X,pin,pin,0,4.476964077237966e-10
_12720_/A0,_12720_/Y,pin,pin,0,3.7266051355899776e-10
_12720_/A1,_12720_/Y,pin,pin,0,3.938936954384076e-10
_12720_/S,_12720_/Y,pin,pin,0,4.96232721580725e-10
_12721_/A,_12721_/Y,pin,pin,0,1.897938611827854e-10
_12729_/A,_12729_/X,pin,pin,0,5.452469031830276e-10
_12729_/B,_12729_/X,pin,pin,0,4.456016944320851e-10
_12729_/C,_12729_/X,pin,pin,0,2.9128283118851073e-10
_12730_/A,_12730_/X,pin,pin,0,4.684395649157125e-10
_12730_/B,_12730_/X,pin,pin,0,3.933398051714221e-10
_12730_/C,_12730_/X,pin,pin,0,2.55429066786661e-10
_12731_/A,_12731_/Y,pin,pin,0,2.2041675429296248e-10
_12731_/B,_12731_/Y,pin,pin,0,1.3748298333116082e-10
_12732_/A1,_12732_/X,pin,pin,0,6.102363614424178e-10
_12732_/A2,_12732_/X,pin,pin,0,5.143807602081552e-10
_12732_/B1,_12732_/X,pin,pin,0,5.380672574162304e-10
_12733_/A,_12733_/Y,pin,pin,0,2.665664911027932e-10
_12740_/A,_12740_/X,pin,pin,0,6.609791047829106e-10
_12740_/B,_12740_/X,pin,pin,0,5.703581495986043e-10
_12740_/C,_12740_/X,pin,pin,0,4.5315012853208714e-10
_12741_/A,_12741_/X,pin,pin,0,4.929723296243083e-10
_12741_/B,_12741_/X,pin,pin,0,4.1525430316546874e-10
_12741_/C,_12741_/X,pin,pin,0,2.8080010539e-10
_12742_/A,_12742_/Y,pin,pin,0,1.5677811826542154e-10
_12742_/B,_12742_/Y,pin,pin,0,9.933198014122624e-11
_12743_/A1,_12743_/X,pin,pin,0,6.507521188581222e-10
_12743_/A2,_12743_/X,pin,pin,0,5.671302871768091e-10
_12743_/B1,_12743_/X,pin,pin,0,5.690970472649326e-10
_12745_/A,_12745_/Y,pin,pin,0,2.6867286173626326e-10
_12751_/A,_12751_/X,pin,pin,0,6.072689018310484e-10
_12751_/B,_12751_/X,pin,pin,0,5.065022845585077e-10
_12751_/C,_12751_/X,pin,pin,0,3.9330366741197054e-10
_12752_/A,_12752_/X,pin,pin,0,3.6982278350805586e-10
_12752_/B,_12752_/X,pin,pin,0,3.48259893145908e-10
_12753_/A,_12753_/X,pin,pin,0,2.9074154195285473e-10
_12753_/B,_12753_/X,pin,pin,0,2.678203214756536e-10
_12754_/A,_12754_/Y,pin,pin,0,2.3629032064320654e-10
_12754_/B,_12754_/Y,pin,pin,0,1.4330034381337953e-10
_12755_/A1,_12755_/X,pin,pin,0,5.229477406665239e-10
_12755_/A2,_12755_/X,pin,pin,0,4.687805144065749e-10
_12755_/B1,_12755_/X,pin,pin,0,4.632681460670085e-10
_12756_/A,_12756_/Y,pin,pin,0,2.1940331496050902e-10
_12758_/A,_12758_/Y,pin,pin,0,1.623806922257387e-10
_12759_/A,_12759_/Y,pin,pin,0,3.109085211505658e-10
_12759_/B,_12759_/Y,pin,pin,0,2.6452218193639965e-10
_12760_/A,_12760_/Y,pin,pin,0,4.786707696879944e-10
_12760_/B,_12760_/Y,pin,pin,0,4.6273207487956824e-10
_12761_/A,_12761_/X,pin,pin,0,2.858405179217982e-10
_12761_/B,_12761_/X,pin,pin,0,2.8296076592937425e-10
_12762_/A,_12762_/X,pin,pin,0,2.618468220028092e-10
_12762_/B,_12762_/X,pin,pin,0,2.3481652733359226e-10
_12763_/A,_12763_/Y,pin,pin,0,1.9230861347807604e-10
_12763_/B,_12763_/Y,pin,pin,0,9.952790674949696e-11
_12764_/A1,_12764_/X,pin,pin,0,3.8901987187145437e-10
_12764_/A2,_12764_/X,pin,pin,0,3.1840119429915603e-10
_12764_/B1,_12764_/X,pin,pin,0,3.1030131242282266e-10
_12765_/A,_12765_/Y,pin,pin,0,1.6547981041004078e-10
_12769_/A,_12769_/X,pin,pin,0,5.242198342081394e-10
_12769_/B,_12769_/X,pin,pin,0,4.01123079196708e-10
_12769_/C,_12769_/X,pin,pin,0,2.9046276495137135e-10
_12770_/A,_12770_/X,pin,pin,0,4.768666017618273e-10
_12770_/B,_12770_/X,pin,pin,0,4.4747561211977427e-10
_12770_/C,_12770_/X,pin,pin,0,2.803968168763049e-10
_12771_/A,_12771_/Y,pin,pin,0,2.4177312929474226e-10
_12771_/B,_12771_/Y,pin,pin,0,9.917725668495692e-11
_12772_/A1,_12772_/Y,pin,pin,0,7.405663859927358e-10
_12772_/A2,_12772_/Y,pin,pin,0,6.032062072058864e-10
_12772_/B1,_12772_/Y,pin,pin,0,3.3091876461277536e-10
_12773_/A,_12773_/Y,pin,pin,0,1.654137660178634e-10
_12776_/A,_12776_/X,pin,pin,0,6.271874686269996e-10
_12776_/B,_12776_/X,pin,pin,0,4.994302749139479e-10
_12776_/C,_12776_/X,pin,pin,0,3.9423339592836726e-10
_12777_/A,_12777_/X,pin,pin,0,4.747999216014875e-10
_12777_/B,_12777_/X,pin,pin,0,4.232348083110793e-10
_12777_/C,_12777_/X,pin,pin,0,2.7213090114663885e-10
_12778_/A,_12778_/Y,pin,pin,0,2.423981015908794e-10
_12778_/B,_12778_/Y,pin,pin,0,1.0124291682789277e-10
_12779_/A1,_12779_/Y,pin,pin,0,7.587572792289166e-10
_12779_/A2,_12779_/Y,pin,pin,0,6.199581403798504e-10
_12779_/B1,_12779_/Y,pin,pin,0,3.3945113386835146e-10
_12780_/A,_12780_/Y,pin,pin,0,1.554873313436289e-10
_12784_/A,_12784_/X,pin,pin,0,5.780683154377186e-10
_12784_/B,_12784_/X,pin,pin,0,5.732744279285384e-10
_12784_/C,_12784_/X,pin,pin,0,4.2454484372456136e-10
_12785_/A,_12785_/X,pin,pin,0,4.1812331375012946e-10
_12785_/B,_12785_/X,pin,pin,0,3.9044836808166394e-10
_12785_/C,_12785_/X,pin,pin,0,2.477066884942758e-10
_12786_/A,_12786_/Y,pin,pin,0,2.387644526535837e-10
_12786_/B,_12786_/Y,pin,pin,0,1.191697296398786e-10
_12787_/A1,_12787_/X,pin,pin,0,9.725090732715103e-10
_12787_/A2,_12787_/X,pin,pin,0,8.593800671086171e-10
_12787_/B1,_12787_/X,pin,pin,0,8.843721310825003e-10
_12789_/A,_12789_/Y,pin,pin,0,4.475015635829749e-10
_12793_/A,_12793_/Y,pin,pin,0,1.4607262621701977e-10
_12797_/A,_12797_/X,pin,pin,0,6.774830141331734e-10
_12797_/B,_12797_/X,pin,pin,0,5.279861547968778e-10
_12797_/C,_12797_/X,pin,pin,0,4.219215810064014e-10
_12798_/A,_12798_/X,pin,pin,0,4.423138244558089e-10
