src,tar,src_type,tar_type
_06274_,_06274_/X,cell,pin
_06275_/A,_06275_,pin,cell
_06275_/B,_06275_,pin,cell
_06275_/C,_06275_,pin,cell
_06275_,_06275_/Y,cell,pin
_06277_/A1,_06277_,pin,cell
_06277_/A2,_06277_,pin,cell
_06277_/A3,_06277_,pin,cell
_06277_/B1,_06277_,pin,cell
_06277_,_06277_/Y,cell,pin
_06278_/A,_06278_,pin,cell
_06278_/B,_06278_,pin,cell
_06278_,_06278_/Y,cell,pin
_06279_/A,_06279_,pin,cell
_06279_/B,_06279_,pin,cell
_06279_,_06279_/X,cell,pin
_06280_/A_N,_06280_,pin,cell
_06280_/B_N,_06280_,pin,cell
_06280_/C,_06280_,pin,cell
_06280_/D,_06280_,pin,cell
_06280_,_06280_/Y,cell,pin
_06282_/A,_06282_,pin,cell
_06282_/B,_06282_,pin,cell
_06282_,_06282_/X,cell,pin
_06283_/A,_06283_,pin,cell
_06283_/B,_06283_,pin,cell
_06283_/C,_06283_,pin,cell
_06283_/D,_06283_,pin,cell
_06283_,_06283_/Y,cell,pin
_06284_/A1,_06284_,pin,cell
_06284_/A2,_06284_,pin,cell
_06284_/B1,_06284_,pin,cell
_06284_,_06284_/Y,cell,pin
_06285_/A1,_06285_,pin,cell
_06285_/A2,_06285_,pin,cell
_06285_/B1,_06285_,pin,cell
_06285_,_06285_/Y,cell,pin
_06286_/A,_06286_,pin,cell
_06286_/B,_06286_,pin,cell
_06286_/C_N,_06286_,pin,cell
_06286_,_06286_/X,cell,pin
_06288_/A,_06288_,pin,cell
_06288_/B,_06288_,pin,cell
_06288_/C,_06288_,pin,cell
_06288_,_06288_/Y,cell,pin
_06289_/A,_06289_,pin,cell
_06289_/B,_06289_,pin,cell
_06289_,_06289_/Y,cell,pin
_06290_/A_N,_06290_,pin,cell
_06290_/B,_06290_,pin,cell
_06290_/C,_06290_,pin,cell
_06290_,_06290_/Y,cell,pin
_06291_/A,_06291_,pin,cell
_06291_/B,_06291_,pin,cell
_06291_,_06291_/Y,cell,pin
_06292_/A1,_06292_,pin,cell
_06292_/A2,_06292_,pin,cell
_06292_/B1,_06292_,pin,cell
_06292_/C1,_06292_,pin,cell
_06292_/D1,_06292_,pin,cell
_06292_,_06292_/X,cell,pin
_06298_/A,_06298_,pin,cell
_06298_/B,_06298_,pin,cell
_06298_/C_N,_06298_,pin,cell
_06298_,_06298_/Y,cell,pin
