src,tar,src_type,tar_type,is_net,arc_delay
_06268_/A1,_06268_/X,pin,pin,0,5.018668258749415e-10
_06268_/A2,_06268_/X,pin,pin,0,4.887558135990844e-10
_06268_/A3,_06268_/X,pin,pin,0,4.75296191293495e-10
_06268_/S0,_06268_/X,pin,pin,0,6.298296328921538e-10
_06268_/S1,_06268_/X,pin,pin,0,3.8276776193058026e-10
_06269_/A_N,_06269_/X,pin,pin,0,3.7877781466910676e-10
_06269_/B,_06269_/X,pin,pin,0,3.842482720894935e-10
_06269_/C,_06269_/X,pin,pin,0,3.5760025496323067e-10
_06270_/A,_06270_/X,pin,pin,0,3.550784943850971e-10
_06270_/B,_06270_/X,pin,pin,0,3.8476230534989497e-10
_06270_/C,_06270_/X,pin,pin,0,3.526698655331728e-10
_06271_/A0,_06271_/X,pin,pin,0,4.900738703739194e-10
_06271_/A1,_06271_/X,pin,pin,0,5.048664819540249e-10
_06271_/A2,_06271_/X,pin,pin,0,4.928470964671305e-10
_06271_/A3,_06271_/X,pin,pin,0,4.796953945174209e-10
_06271_/S0,_06271_/X,pin,pin,0,6.329745061428582e-10
_06271_/S1,_06271_/X,pin,pin,0,3.8609007657619543e-10
_06272_/A1,_06272_/X,pin,pin,0,2.752800487559881e-10
_06272_/A2,_06272_/X,pin,pin,0,2.942265042715775e-10
_06272_/B1,_06272_/X,pin,pin,0,2.4415855448545187e-10
_06272_/B2,_06272_/X,pin,pin,0,2.666228349212929e-10
_06273_/A1,_06273_/Y,pin,pin,0,2.373865271021458e-10
_06273_/A2,_06273_/Y,pin,pin,0,2.569057466761393e-10
_06273_/A3,_06273_/Y,pin,pin,0,2.707676582947016e-10
_06273_/B1,_06273_/Y,pin,pin,0,2.229330609004876e-10
_06274_/A,_06274_/X,pin,pin,0,5.354980903149453e-10
_06274_/B,_06274_/X,pin,pin,0,5.228176780391891e-10
_06274_/C,_06274_/X,pin,pin,0,4.639436612663417e-10
_06275_/A,_06275_/Y,pin,pin,0,7.791998157813396e-10
_06275_/B,_06275_/Y,pin,pin,0,7.932439149982429e-10
_06275_/C,_06275_/Y,pin,pin,0,6.621929116157332e-10
_06277_/A1,_06277_/Y,pin,pin,0,3.577281526556675e-10
_06277_/A2,_06277_/Y,pin,pin,0,3.847701879333698e-10
_06277_/A3,_06277_/Y,pin,pin,0,3.8307568228646005e-10
_06277_/B1,_06277_/Y,pin,pin,0,3.2776542591150815e-10
_06278_/A,_06278_/Y,pin,pin,0,1.424672047001252e-10
_06278_/B,_06278_/Y,pin,pin,0,1.5048495782821192e-10
_06279_/A,_06279_/X,pin,pin,0,1.8700224702072887e-10
_06279_/B,_06279_/X,pin,pin,0,2.0148564761068855e-10
_06280_/A_N,_06280_/Y,pin,pin,0,3.6773412093182856e-10
_06280_/B_N,_06280_/Y,pin,pin,0,4.3559042484098143e-10
_06280_/C,_06280_/Y,pin,pin,0,2.8991523071120184e-10
_06280_/D,_06280_/Y,pin,pin,0,2.8820965058962145e-10
_06282_/A,_06282_/X,pin,pin,0,4.16368634015285e-10
_06282_/B,_06282_/X,pin,pin,0,4.155552291162934e-10
_06283_/A,_06283_/Y,pin,pin,0,3.425444650151377e-10
_06283_/B,_06283_/Y,pin,pin,0,3.93042015600642e-10
_06283_/C,_06283_/Y,pin,pin,0,3.0175562049095106e-10
_06283_/D,_06283_/Y,pin,pin,0,2.7298419080779013e-10
_06284_/A1,_06284_/Y,pin,pin,0,2.1971843788826106e-10
_06284_/A2,_06284_/Y,pin,pin,0,2.0999249561448607e-10
_06284_/B1,_06284_/Y,pin,pin,0,1.1006773270594294e-10
_06285_/A1,_06285_/Y,pin,pin,0,2.320531128363612e-10
_06285_/A2,_06285_/Y,pin,pin,0,2.9001803736328213e-10
_06285_/B1,_06285_/Y,pin,pin,0,1.106922400961885e-10
_06286_/A,_06286_/X,pin,pin,0,6.723987477919025e-10
_06286_/B,_06286_/X,pin,pin,0,6.534934815505267e-10
_06286_/C_N,_06286_/X,pin,pin,0,6.733093527167e-10
_06288_/A,_06288_/Y,pin,pin,0,2.616417360545853e-10
_06288_/B,_06288_/Y,pin,pin,0,2.579743085817654e-10
_06288_/C,_06288_/Y,pin,pin,0,2.8873145541119527e-10
_06289_/A,_06289_/Y,pin,pin,0,8.891057334814434e-10
_06289_/B,_06289_/Y,pin,pin,0,8.579777444062131e-10
_06290_/A_N,_06290_/Y,pin,pin,0,2.1359802815368312e-10
_06290_/B,_06290_/Y,pin,pin,0,1.4475202980701596e-10
_06290_/C,_06290_/Y,pin,pin,0,1.4521699120972897e-10
_06291_/A,_06291_/Y,pin,pin,0,3.233916467948461e-10
_06291_/B,_06291_/Y,pin,pin,0,2.3624927014687103e-10
_06292_/A1,_06292_/X,pin,pin,0,6.798702156807224e-10
_06292_/A2,_06292_/X,pin,pin,0,7.197524243274245e-10
_06292_/B1,_06292_/X,pin,pin,0,7.721759898160485e-10
_06292_/C1,_06292_/X,pin,pin,0,6.571709287861438e-10
_06292_/D1,_06292_/X,pin,pin,0,5.784187018242903e-10
_06298_/A,_06298_/Y,pin,pin,0,6.199112889682112e-10
_06298_/B,_06298_/Y,pin,pin,0,6.050242529198613e-10
_06298_/C_N,_06298_/Y,pin,pin,0,6.292897314352786e-10
_06299_/A,_06299_/X,pin,pin,0,4.925164165392459e-10
_06299_/B,_06299_/X,pin,pin,0,4.87678675220593e-10
_06299_/C,_06299_/X,pin,pin,0,4.980458823133915e-10
_06301_/A,_06301_/Y,pin,pin,0,3.057280817397867e-10
_06301_/B,_06301_/Y,pin,pin,0,3.536436143924959e-10
_06302_/A,_06302_/X,pin,pin,0,2.92249779931808e-10
_06302_/B,_06302_/X,pin,pin,0,2.8201549429063277e-10
_06304_/A_N,_06304_/X,pin,pin,0,4.342327053485917e-10
_06304_/B,_06304_/X,pin,pin,0,3.505888634958154e-10
_06304_/C,_06304_/X,pin,pin,0,3.5006342269383595e-10
_06306_/A,_06306_/X,pin,pin,0,3.0269739492716496e-10
_06306_/B,_06306_/X,pin,pin,0,3.181853669431689e-10
_06308_/A,_06308_/Y,pin,pin,0,1.3418439970269702e-10
_06308_/B,_06308_/Y,pin,pin,0,1.4632774159029083e-10
_06308_/C,_06308_/Y,pin,pin,0,1.468365012913253e-10
_06309_/A,_06309_/Y,pin,pin,0,2.320582476178501e-10
_06309_/B,_06309_/Y,pin,pin,0,1.8485311892302292e-10
_06309_/C,_06309_/Y,pin,pin,0,2.556181655233303e-10
_06309_/D,_06309_/Y,pin,pin,0,1.6422878335031754e-10
_06311_/A,_06311_/X,pin,pin,0,3.2086852619350736e-10
_06311_/B,_06311_/X,pin,pin,0,3.7991826351557734e-10
_06312_/A,_06312_/X,pin,pin,0,3.377733093223867e-10
_06312_/B,_06312_/X,pin,pin,0,3.5225400374372384e-10
_06312_/C,_06312_/X,pin,pin,0,3.4413991101267527e-10
_06314_/A1,_06314_/Y,pin,pin,0,3.7786848650078753e-10
_06314_/A2,_06314_/Y,pin,pin,0,4.207670045719425e-10
_06314_/A3,_06314_/Y,pin,pin,0,4.342285975234006e-10
