src,tar,src_type,tar_type
_01094_,_06283_,net,cell
_01098_,_06283_,net,cell
_06283_,_01099_,cell,net
_01095_,_06284_,net,cell
_01099_,_06284_,net,cell
net27,_06284_,net,cell
_06284_,_01100_,cell,net
net29,_06285_,net,cell
_01096_,_06285_,net,cell
net5,_06285_,net,cell
_06285_,_01101_,cell,net
net26,_06286_,net,cell
net29,_06286_,net,cell
net27,_06286_,net,cell
_06286_,_01102_,cell,net
net1,_06288_,net,cell
net12,_06288_,net,cell
net23,_06288_,net,cell
_06288_,_01104_,cell,net
_01102_,_06289_,net,cell
_01104_,_06289_,net,cell
_06289_,_01105_,cell,net
net27,_06290_,net,cell
net28,_06290_,net,cell
net29,_06290_,net,cell
_06290_,_01106_,cell,net
_01096_,_06291_,net,cell
_01106_,_06291_,net,cell
_06291_,_01107_,cell,net
_01100_,_06292_,net,cell
_01101_,_06292_,net,cell
_01105_,_06292_,net,cell
_01107_,_06292_,net,cell
net6,_06292_,net,cell
_06292_,_01108_,cell,net
net26,_06298_,net,cell
net29,_06298_,net,cell
net27,_06298_,net,cell
_06298_,_01114_,cell,net
net1,_06299_,net,cell
net12,_06299_,net,cell
net23,_06299_,net,cell
_06299_,_01115_,cell,net
net211,_06301_,net,cell
_01115_,_06301_,net,cell
_06301_,_01117_,cell,net
net1,_06302_,net,cell
net12,_06302_,net,cell
_06302_,_01118_,cell,net
net27,_06304_,net,cell
net28,_06304_,net,cell
net29,_06304_,net,cell
_06304_,_01120_,cell,net
net26,_06306_,net,cell
net23,_06306_,net,cell
_06306_,_01122_,cell,net
_01118_,_06308_,net,cell
_01120_,_06308_,net,cell
_01122_,_06308_,net,cell
_06308_,_01124_,cell,net
net219,_06309_,net,cell
_01036_,_06309_,net,cell
_01117_,_06309_,net,cell
_01124_,_06309_,net,cell
_06309_,_01125_,cell,net
_01031_,_06311_,net,cell
_01035_,_06311_,net,cell
_06311_,_01127_,cell,net
_01118_,_06312_,net,cell
_01120_,_06312_,net,cell
_01122_,_06312_,net,cell
_06312_,_01128_,cell,net
net29,_06314_,net,cell
net31,_06314_,net,cell
_01127_,_06314_,net,cell
_01128_,_06314_,net,cell
net224,_06314_,net,cell
_06314_,_01130_,cell,net
net29,_06316_,net,cell
net30,_06316_,net,cell
