cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_100_1028,0,0,0,410780,302400,413820,305200,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_100_1036,0,0,0,413820,302400,414200,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_1038,0,0,0,414580,302400,414960,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_1045,0,0,0,417240,302400,417620,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_1047,0,0,0,418000,302400,418380,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_1054,0,0,0,420660,302400,422180,305200,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_100_1058,0,0,0,422180,302400,422560,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_1066,0,0,0,425220,302400,425600,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_1080,0,0,0,430540,302400,433580,305200,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_100_1088,0,0,0,433580,302400,435100,305200,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_100_1092,0,0,0,435100,302400,435480,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_1094,0,0,0,435860,302400,436240,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_1108,0,0,0,441180,302400,441560,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_1110,0,0,0,441940,302400,442320,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_1135,0,0,0,451440,302400,451820,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_1137,0,0,0,452200,302400,452580,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_1144,0,0,0,454860,302400,467020,305200,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_100_1176,0,0,0,467020,302400,467400,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_118,0,0,0,64980,302400,71060,305200,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_100_1194,0,0,0,473860,302400,476900,305200,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_100_1202,0,0,0,476900,302400,478420,305200,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_100_1206,0,0,0,478420,302400,478800,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_1208,0,0,0,479180,302400,479560,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_140,0,0,0,73340,302400,76380,305200,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_100_148,0,0,0,76380,302400,77900,305200,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_100_152,0,0,0,77900,302400,78280,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_160,0,0,0,80940,302400,83980,305200,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_100_168,0,0,0,83980,302400,84360,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_189,0,0,0,91960,302400,92340,305200,0,0,FILLCELL_X1,0.0,0.0
