net_name,net_route_length,net_steiner_length,fanout,total_cap,net_cap,net_coupling,net_res
clk,382750,-1,1,2.211567958116962e-14,11.612092912197113,7.101694921031594,138.2396583557129
done,20260,-1,0,7.202056982102891e-16,0.5741122364997864,0.146094037219882,41.678585052490234
key[0],25320,-1,1,1.876771324747827e-15,0.73529052734375,0.16682204511016607,51.21430587768555
key[100],21100,-1,1,1.7697609938399812e-15,0.4358382225036621,0.3592647612094879,43.178585052490234
key[101],21100,-1,1,1.722456427197315e-15,0.6029368042945862,0.1448613622924313,43.178585052490234
key[102],21100,-1,1,1.7591140014512315e-15,0.4613460898399353,0.32310904562473297,43.178585052490234
key[103],23800,-1,1,1.8865028862788315e-15,0.4953197240829468,0.4165241466835141,47.75001525878906
key[104],20720,-1,1,1.804324173252693e-15,0.5354344844818115,0.2942311763763428,42.25001525878906
key[105],24180,-1,1,1.881332808927028e-15,0.5914098620414734,0.3152634724974632,48.9285888671875
key[106],21100,-1,1,1.7523099975441745e-15,0.4814637005329132,0.29618678241968155,43.428585052490234
key[107],26980,-1,1,2.125297144219343e-15,0.6184093952178955,0.5322283268033061,53.928592681884766
key[108],21100,-1,1,1.8413670416184916e-15,0.4295560121536255,0.43715232610702515,43.428585052490234
key[109],34100,-1,1,2.339937198877714e-15,0.8632606267929077,0.5020179942366667,67.39287948608398
key[10],33550,-1,1,2.3952327802238957e-15,0.7852977216243744,0.6352750891819596,71.41073799133301
key[110],20720,-1,1,1.7068277164084076e-15,0.5866338014602661,0.14553491584956646,42.25001525878906
key[111],33340,-1,1,2.2773535342951196e-15,0.8039335608482361,0.4987600864842534,65.53573989868164
key[112],26990,-1,1,2.3466522643253093e-15,0.748082309961319,0.1926570162177086,68.94644927978516
key[113],24660,-1,1,1.9474375894713587e-15,0.5377933979034424,0.43498460249975324,49.53573226928711
key[114],23520,-1,1,1.8941363471994873e-15,0.49148115515708923,0.4279955684323795,47.25001525878906
key[115],29880,-1,1,2.1645702503352623e-15,0.6740866601467133,0.51582470536232,59.1071662902832
key[116],33060,-1,1,2.3702925303667032e-15,0.831874281167984,0.5637608312536031,75.03573799133301
key[117],33440,-1,1,2.252543092237094e-15,0.8150488287210464,0.4628354972228408,75.71431159973145
key[118],27090,-1,1,1.8602956868907835e-15,0.8697430863976479,0.015893300995230675,58.87502098083496
key[119],27740,-1,1,2.1490208430060415e-15,0.5902207791805267,0.5841420642100275,55.28573226928711
key[11],35930,-1,1,2.2250155802425132e-15,0.980079397559166,0.2702764493878931,74.66074085235596
key[120],25420,-1,1,1.9076316996316164e-15,0.5982028841972351,0.33477101859170943,51.64287567138672
key[121],26150,-1,1,1.9162089670137503e-15,0.729280386120081,0.21226948406547308,57.19644641876221
key[122],24980,-1,1,1.8223441639308178e-15,0.6688716411590576,0.17881332972319797,50.85716247558594
key[123],23900,-1,1,1.792426960233796e-15,0.8177679181098938,0.0,48.4285888671875
key[124],24660,-1,1,1.875653664773925e-15,0.5876168608665466,0.31337877304758877,50.28573226928711
key[125],23900,-1,1,1.92487157296532e-15,0.5540006756782532,0.39621262811124325,48.4285888671875
key[126],23520,-1,1,1.9313083880897423e-15,0.4777772128582001,0.47887106612324715,47.25001525878906
key[127],26560,-1,1,1.965770347065257e-15,0.674298107624054,0.31681346718687564,63.42859077453613
key[12],35210,-1,1,2.6126288683343954e-15,0.7952447533607483,0.8427247805520892,84.12502670288086
key[13],23530,-1,1,2.0036293316757353e-15,0.5320925712585449,0.496877873520134,53.26787567138672
key[14],39480,-1,1,2.5502544208897727e-15,1.0722295939922333,0.5033661797642708,86.25002861022949
key[15],30410,-1,1,2.1407290257271323e-15,0.7943229451775551,0.37174783647060394,64.8035945892334
