src,tar,src_type,tar_type
REG\[43\]$_DFF_P_,_0294_,cell,net
clknet_leaf_9_clock,REG\[44\]$_DFF_P_,net,cell
net39,REG\[44\]$_DFF_P_,net,cell
REG\[44\]$_DFF_P_,_0295_,cell,net
clknet_leaf_4_clock,REG\[45\]$_DFF_P_,net,cell
net40,REG\[45\]$_DFF_P_,net,cell
REG\[45\]$_DFF_P_,_0296_,cell,net
clknet_leaf_4_clock,REG\[46\]$_DFF_P_,net,cell
net41,REG\[46\]$_DFF_P_,net,cell
REG\[46\]$_DFF_P_,_0297_,cell,net
clknet_leaf_9_clock,REG\[47\]$_DFF_P_,net,cell
net42,REG\[47\]$_DFF_P_,net,cell
REG\[47\]$_DFF_P_,_0298_,cell,net
clknet_leaf_4_clock,REG\[48\]$_DFF_P_,net,cell
net43,REG\[48\]$_DFF_P_,net,cell
REG\[48\]$_DFF_P_,_0299_,cell,net
clknet_leaf_9_clock,REG\[49\]$_DFF_P_,net,cell
net44,REG\[49\]$_DFF_P_,net,cell
REG\[49\]$_DFF_P_,_0300_,cell,net
clknet_leaf_5_clock,REG\[4\]$_DFF_P_,net,cell
net45,REG\[4\]$_DFF_P_,net,cell
REG\[4\]$_DFF_P_,_0301_,cell,net
clknet_leaf_9_clock,REG\[50\]$_DFF_P_,net,cell
net46,REG\[50\]$_DFF_P_,net,cell
REG\[50\]$_DFF_P_,_0302_,cell,net
clknet_leaf_4_clock,REG\[51\]$_DFF_P_,net,cell
net47,REG\[51\]$_DFF_P_,net,cell
REG\[51\]$_DFF_P_,_0303_,cell,net
clknet_leaf_5_clock,REG\[52\]$_DFF_P_,net,cell
net48,REG\[52\]$_DFF_P_,net,cell
REG\[52\]$_DFF_P_,_0304_,cell,net
clknet_leaf_9_clock,REG\[53\]$_DFF_P_,net,cell
net49,REG\[53\]$_DFF_P_,net,cell
REG\[53\]$_DFF_P_,_0305_,cell,net
clknet_leaf_5_clock,REG\[54\]$_DFF_P_,net,cell
net50,REG\[54\]$_DFF_P_,net,cell
REG\[54\]$_DFF_P_,_0306_,cell,net
clknet_leaf_9_clock,REG\[55\]$_DFF_P_,net,cell
net51,REG\[55\]$_DFF_P_,net,cell
REG\[55\]$_DFF_P_,_0307_,cell,net
clknet_leaf_4_clock,REG\[56\]$_DFF_P_,net,cell
net52,REG\[56\]$_DFF_P_,net,cell
REG\[56\]$_DFF_P_,_0308_,cell,net
clknet_leaf_9_clock,REG\[57\]$_DFF_P_,net,cell
net53,REG\[57\]$_DFF_P_,net,cell
REG\[57\]$_DFF_P_,_0309_,cell,net
clknet_leaf_9_clock,REG\[58\]$_DFF_P_,net,cell
net54,REG\[58\]$_DFF_P_,net,cell
REG\[58\]$_DFF_P_,_0310_,cell,net
clknet_leaf_9_clock,REG\[59\]$_DFF_P_,net,cell
net55,REG\[59\]$_DFF_P_,net,cell
REG\[59\]$_DFF_P_,_0311_,cell,net
clknet_leaf_5_clock,REG\[5\]$_DFF_P_,net,cell
net56,REG\[5\]$_DFF_P_,net,cell
REG\[5\]$_DFF_P_,_0312_,cell,net
clknet_leaf_9_clock,REG\[60\]$_DFF_P_,net,cell
net57,REG\[60\]$_DFF_P_,net,cell
REG\[60\]$_DFF_P_,_0313_,cell,net
clknet_leaf_9_clock,REG\[61\]$_DFF_P_,net,cell
