src,tar,src_type,tar_type
REG\[32\]$_DFF_P_,REG\[32\]$_DFF_P_/QN,cell,pin
REG\[33\]$_DFF_P_/CLK,REG\[33\]$_DFF_P_,pin,cell
REG\[33\]$_DFF_P_/D,REG\[33\]$_DFF_P_,pin,cell
REG\[33\]$_DFF_P_,REG\[33\]$_DFF_P_/QN,cell,pin
REG\[34\]$_DFF_P_/CLK,REG\[34\]$_DFF_P_,pin,cell
REG\[34\]$_DFF_P_/D,REG\[34\]$_DFF_P_,pin,cell
REG\[34\]$_DFF_P_,REG\[34\]$_DFF_P_/QN,cell,pin
REG\[35\]$_DFF_P_/CLK,REG\[35\]$_DFF_P_,pin,cell
REG\[35\]$_DFF_P_/D,REG\[35\]$_DFF_P_,pin,cell
REG\[35\]$_DFF_P_,REG\[35\]$_DFF_P_/QN,cell,pin
REG\[36\]$_DFF_P_/CLK,REG\[36\]$_DFF_P_,pin,cell
REG\[36\]$_DFF_P_/D,REG\[36\]$_DFF_P_,pin,cell
REG\[36\]$_DFF_P_,REG\[36\]$_DFF_P_/QN,cell,pin
REG\[37\]$_DFF_P_/CLK,REG\[37\]$_DFF_P_,pin,cell
REG\[37\]$_DFF_P_/D,REG\[37\]$_DFF_P_,pin,cell
REG\[37\]$_DFF_P_,REG\[37\]$_DFF_P_/QN,cell,pin
REG\[38\]$_DFF_P_/CLK,REG\[38\]$_DFF_P_,pin,cell
REG\[38\]$_DFF_P_/D,REG\[38\]$_DFF_P_,pin,cell
REG\[38\]$_DFF_P_,REG\[38\]$_DFF_P_/QN,cell,pin
REG\[39\]$_DFF_P_/CLK,REG\[39\]$_DFF_P_,pin,cell
REG\[39\]$_DFF_P_/D,REG\[39\]$_DFF_P_,pin,cell
REG\[39\]$_DFF_P_,REG\[39\]$_DFF_P_/QN,cell,pin
REG\[3\]$_DFF_P_/CLK,REG\[3\]$_DFF_P_,pin,cell
REG\[3\]$_DFF_P_/D,REG\[3\]$_DFF_P_,pin,cell
REG\[3\]$_DFF_P_,REG\[3\]$_DFF_P_/QN,cell,pin
REG\[40\]$_DFF_P_/CLK,REG\[40\]$_DFF_P_,pin,cell
REG\[40\]$_DFF_P_/D,REG\[40\]$_DFF_P_,pin,cell
REG\[40\]$_DFF_P_,REG\[40\]$_DFF_P_/QN,cell,pin
REG\[41\]$_DFF_P_/CLK,REG\[41\]$_DFF_P_,pin,cell
REG\[41\]$_DFF_P_/D,REG\[41\]$_DFF_P_,pin,cell
REG\[41\]$_DFF_P_,REG\[41\]$_DFF_P_/QN,cell,pin
REG\[42\]$_DFF_P_/CLK,REG\[42\]$_DFF_P_,pin,cell
REG\[42\]$_DFF_P_/D,REG\[42\]$_DFF_P_,pin,cell
REG\[42\]$_DFF_P_,REG\[42\]$_DFF_P_/QN,cell,pin
REG\[43\]$_DFF_P_/CLK,REG\[43\]$_DFF_P_,pin,cell
REG\[43\]$_DFF_P_/D,REG\[43\]$_DFF_P_,pin,cell
REG\[43\]$_DFF_P_,REG\[43\]$_DFF_P_/QN,cell,pin
REG\[44\]$_DFF_P_/CLK,REG\[44\]$_DFF_P_,pin,cell
REG\[44\]$_DFF_P_/D,REG\[44\]$_DFF_P_,pin,cell
REG\[44\]$_DFF_P_,REG\[44\]$_DFF_P_/QN,cell,pin
REG\[45\]$_DFF_P_/CLK,REG\[45\]$_DFF_P_,pin,cell
REG\[45\]$_DFF_P_/D,REG\[45\]$_DFF_P_,pin,cell
REG\[45\]$_DFF_P_,REG\[45\]$_DFF_P_/QN,cell,pin
REG\[46\]$_DFF_P_/CLK,REG\[46\]$_DFF_P_,pin,cell
REG\[46\]$_DFF_P_/D,REG\[46\]$_DFF_P_,pin,cell
REG\[46\]$_DFF_P_,REG\[46\]$_DFF_P_/QN,cell,pin
