src,tar,src_type,tar_type,is_net,arc_delay
_399_/B,_399_/ZN,pin,pin,0,4.416515417271505e-11
_400_/A,_400_/ZN,pin,pin,0,4.414061477442388e-11
_400_/B,_400_/ZN,pin,pin,0,4.411040976926017e-11
_401_/A1,_401_/ZN,pin,pin,0,1.6987413212210534e-11
_401_/A2,_401_/ZN,pin,pin,0,1.929472380479691e-11
_402_/A,_402_/ZN,pin,pin,0,1.850070444064933e-11
_403_/A1,_403_/ZN,pin,pin,0,4.546439960617654e-11
_403_/A2,_403_/ZN,pin,pin,0,3.942414797397653e-11
_404_/A1,_404_/ZN,pin,pin,0,1.4206907351932418e-11
_404_/A2,_404_/ZN,pin,pin,0,1.6134402841538886e-11
_405_/A1,_405_/ZN,pin,pin,0,1.4820866756082296e-11
_405_/A2,_405_/ZN,pin,pin,0,1.7280149533505096e-11
_406_/A1,_406_/ZN,pin,pin,0,2.1320905110866484e-11
_406_/A2,_406_/ZN,pin,pin,0,2.5549925022905207e-11
_407_/A,_407_/ZN,pin,pin,0,2.362209212958266e-11
_407_/B1,_407_/ZN,pin,pin,0,3.661519004660718e-11
_407_/B2,_407_/ZN,pin,pin,0,4.114265525489991e-11
_408_/A,_408_/ZN,pin,pin,0,1.759250384258948e-11
_409_/A1,_409_/ZN,pin,pin,0,3.1021889917992596e-11
_409_/A2,_409_/ZN,pin,pin,0,3.770071407838138e-11
_410_/A,_410_/ZN,pin,pin,0,2.5611972612193945e-11
_411_/A1,_411_/ZN,pin,pin,0,4.3369949992433376e-11
_411_/A2,_411_/ZN,pin,pin,0,4.293463154447785e-11
_412_/A,_412_/ZN,pin,pin,0,4.463971553514412e-11
_412_/B1,_412_/ZN,pin,pin,0,3.3824689577022227e-11
_412_/B2,_412_/ZN,pin,pin,0,3.7023210885944735e-11
_413_/A,_413_/ZN,pin,pin,0,1.827483823990672e-11
_414_/A,_414_/ZN,pin,pin,0,5.2922381754694214e-11
_414_/B1,_414_/ZN,pin,pin,0,3.849674745648457e-11
_414_/B2,_414_/ZN,pin,pin,0,4.439423481605864e-11
_415_/A1,_415_/ZN,pin,pin,0,1.566823927545702e-11
_415_/A2,_415_/ZN,pin,pin,0,2.08969785919777e-11
_416_/A,_416_/ZN,pin,pin,0,4.295753683325465e-11
_416_/B,_416_/ZN,pin,pin,0,4.30155182307157e-11
_417_/A,_417_/ZN,pin,pin,0,2.7076068817577514e-11
_418_/A,_418_/ZN,pin,pin,0,2.0337346390286726e-11
_419_/A,_419_/ZN,pin,pin,0,5.153796486800921e-11
_419_/B,_419_/ZN,pin,pin,0,5.7179774803906014e-11
_420_/A1,_420_/ZN,pin,pin,0,2.583125553734522e-11
_420_/A2,_420_/ZN,pin,pin,0,3.3283532180350406e-11
_421_/A1,_421_/ZN,pin,pin,0,1.4345323540165822e-11
_421_/A2,_421_/ZN,pin,pin,0,1.7749270803113504e-11
_422_/A1,_422_/ZN,pin,pin,0,1.388953622255551e-11
_422_/A2,_422_/ZN,pin,pin,0,1.686248016219416e-11
_423_/A,_423_/ZN,pin,pin,0,2.8734084556170103e-11
_424_/A1,_424_/ZN,pin,pin,0,2.4624306066423074e-11
_424_/A2,_424_/ZN,pin,pin,0,2.6264535685216472e-11
_425_/A,_425_/ZN,pin,pin,0,2.428376076613059e-11
_425_/B1,_425_/ZN,pin,pin,0,4.036675160801195e-11
_425_/B2,_425_/ZN,pin,pin,0,4.402407952075471e-11
_426_/A,_426_/ZN,pin,pin,0,2.7645385980434867e-11
_427_/A1,_427_/ZN,pin,pin,0,1.4408017313949362e-11
_427_/A2,_427_/ZN,pin,pin,0,1.9140626583702414e-11
_428_/A,_428_/ZN,pin,pin,0,3.1923075294315595e-11
_429_/A,_429_/ZN,pin,pin,0,4.726662464205056e-11
_429_/B,_429_/ZN,pin,pin,0,4.6251561608423586e-11
_430_/A,_430_/ZN,pin,pin,0,3.2468562560783454e-11
_431_/A1,_431_/ZN,pin,pin,0,1.4285087869547741e-11
_431_/A2,_431_/ZN,pin,pin,0,1.973988333903165e-11
_432_/A1,_432_/ZN,pin,pin,0,3.5930224073776884e-11
_432_/A2,_432_/ZN,pin,pin,0,3.814324897599697e-11
_433_/A1,_433_/ZN,pin,pin,0,1.3397803699799482e-11
_433_/A2,_433_/ZN,pin,pin,0,2.2041589040067144e-11
_434_/A,_434_/ZN,pin,pin,0,2.1329618626886315e-11
_435_/A,_435_/ZN,pin,pin,0,4.3579861941367426e-11
_435_/B,_435_/ZN,pin,pin,0,4.413199666819523e-11
_436_/A,_436_/ZN,pin,pin,0,2.5819724830400403e-11
_437_/A1,_437_/ZN,pin,pin,0,1.1796506479977431e-11
_437_/A2,_437_/ZN,pin,pin,0,1.6062845498154843e-11
_438_/A1,_438_/ZN,pin,pin,0,2.4491695130302027e-11
_438_/A2,_438_/ZN,pin,pin,0,3.220700442452262e-11
_438_/A3,_438_/ZN,pin,pin,0,3.092535602600144e-11
_439_/A1,_439_/ZN,pin,pin,0,2.915758606780727e-11
_439_/A2,_439_/ZN,pin,pin,0,2.6693959542800627e-11
_440_/A,_440_/ZN,pin,pin,0,4.187667573818388e-11
_440_/B,_440_/ZN,pin,pin,0,4.2487072887675836e-11
_441_/A,_441_/ZN,pin,pin,0,1.5225414679020943e-11
_442_/A,_442_/ZN,pin,pin,0,4.746743276218268e-11
_442_/B,_442_/ZN,pin,pin,0,4.4378823532698064e-11
_443_/A,_443_/ZN,pin,pin,0,1.242585808552965e-11
_444_/A,_444_/ZN,pin,pin,0,2.106863641881951e-11
_445_/A,_445_/ZN,pin,pin,0,4.242963272393929e-11
_445_/B,_445_/ZN,pin,pin,0,4.444720633212107e-11
_446_/A,_446_/ZN,pin,pin,0,1.2943280995603157e-11
_447_/A1,_447_/ZN,pin,pin,0,1.3700350749712431e-11
_447_/A2,_447_/ZN,pin,pin,0,1.6182468559611252e-11
_448_/A1,_448_/ZN,pin,pin,0,1.5268611028296242e-11
_448_/A2,_448_/ZN,pin,pin,0,1.850904325639835e-11
_449_/A,_449_/ZN,pin,pin,0,4.1882549511873535e-11
_449_/B,_449_/ZN,pin,pin,0,4.3309422020909594e-11
_450_/A,_450_/ZN,pin,pin,0,4.31258917465982e-11
_450_/B,_450_/ZN,pin,pin,0,4.4556112271942894e-11
_451_/A,_451_/ZN,pin,pin,0,1.301471777570562e-11
_452_/A1,_452_/ZN,pin,pin,0,1.8844646329507775e-11
_452_/A2,_452_/ZN,pin,pin,0,2.024905590425341e-11
_453_/A1,_453_/ZN,pin,pin,0,1.6697509694352242e-11
_453_/A2,_453_/ZN,pin,pin,0,1.9403912504545318e-11
_454_/A,_454_/Z,pin,pin,0,6.10505188070043e-11
_454_/B,_454_/Z,pin,pin,0,5.7774937611831945e-11
_455_/A,_455_/ZN,pin,pin,0,1.831105753136164e-11
_456_/A,_456_/ZN,pin,pin,0,4.062879893629301e-11
_456_/B1,_456_/ZN,pin,pin,0,2.8281843880706425e-11
_456_/B2,_456_/ZN,pin,pin,0,3.2491669077483465e-11
_457_/A,_457_/ZN,pin,pin,0,4.693687799539603e-11
_457_/B,_457_/ZN,pin,pin,0,4.388104463126652e-11
_458_/A,_458_/ZN,pin,pin,0,1.4172676920942706e-11
_459_/A1,_459_/ZN,pin,pin,0,1.693843329486633e-11
_459_/A2,_459_/ZN,pin,pin,0,2.018553033056314e-11
_460_/A1,_460_/ZN,pin,pin,0,1.801678077562041e-11
_460_/A2,_460_/ZN,pin,pin,0,2.2249559833431576e-11
_461_/A,_461_/ZN,pin,pin,0,4.2749373485584385e-11
_461_/B,_461_/ZN,pin,pin,0,4.310161949572233e-11
_462_/A,_462_/ZN,pin,pin,0,4.2747864276160286e-11
_462_/B,_462_/ZN,pin,pin,0,3.745801238630442e-11
_463_/A,_463_/ZN,pin,pin,0,1.1698153730421712e-11
_464_/A,_464_/ZN,pin,pin,0,4.389451996322791e-11
_464_/B1,_464_/ZN,pin,pin,0,2.92624119380136e-11
_464_/B2,_464_/ZN,pin,pin,0,3.714025614831584e-11
