,pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap,is_macro,is_seq,is_buf,is_inv,new_cellname,new_netname,id,org_id,netname_prefix,to_top,to_left,to_right,to_bottom,libcell_name,rise_cap,fall_cap
327,A2,8829,8757,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_397_,_157_,7.856556551166793e-12,2.040466406949548e-11,1.8437164295281858e-10,1.8639272070242183e-10,6.341729852741434e-16,0,0,0,0,cell1089,net211,327,327,_157_,7443.0,8829.0,7371.0,8757.0,AO21x1_ASAP7_75t_R,0.634173,0.634001
328,B,8883,8757,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_397_,_159_,7.7020187103094e-12,2.5424107263916085e-12,1.9073655155299463e-10,2.024649614629226e-10,6.344629881794596e-16,0,0,0,0,cell1089,net213,328,328,_159_,7443.0,8883.0,7317.0,8757.0,AO21x1_ASAP7_75t_R,0.626818,0.634463
329,Y,8968,8827,0,False,0,0,False,4.6080001793458176e-14,3.1999999872134305e-10,0,_397_,_160_,7.561729020721941e-12,2.5424107263916085e-12,2.0148312185330752e-10,2.180624986136692e-10,-1.0,0,0,0,0,cell1089,net214,329,329,_160_,7373.0,8968.0,7232.0,8827.0,AO21x1_ASAP7_75t_R,,
330,A,6068,10125,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_398_,_022_,3.619411367838943e-11,6.386724482609907e-12,1.405710686741557e-10,1.421406742307951e-10,5.467029633056256e-16,0,0,0,0,cell1090,net76,330,330,_022_,6075.0,6068.0,10132.0,10125.0,OR2x2_ASAP7_75t_R,0.534126,0.546703
331,B,5977,10165,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_398_,net58,8.992953950959226e-12,7.73787978136653e-12,1.50611176308324e-10,1.4910196688422414e-10,5.601419880467625e-16,0,0,0,0,cell1090,net426,331,331,net58,6035.0,5977.0,10223.0,10165.0,OR2x2_ASAP7_75t_R,0.560142,0.55956
332,Y,6188,10125,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_398_,_161_,7.65589935197708e-12,6.386724482609907e-12,1.6593176832557788e-10,1.6912586608963662e-10,-1.0,0,0,0,0,cell1090,net215,332,332,_161_,6075.0,6188.0,10012.0,10125.0,OR2x2_ASAP7_75t_R,,
333,A1,5926,9028,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_399_,_025_,3.612650803508366e-11,4.482120230520081e-11,1.221219930735984e-10,1.2445477981515296e-10,6.200080003576507e-16,0,0,0,0,cell1091,net79,333,333,_025_,7172.0,5926.0,10274.0,9028.0,AO21x1_ASAP7_75t_R,0.620008,0.611597
334,A2,6021,9063,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_399_,_026_,2.63732681526907e-11,3.2906996572101826e-11,1.4148233973276803e-10,1.3913589724801056e-10,6.341729852741434e-16,0,0,0,0,cell1091,net80,334,334,_026_,7137.0,6021.0,10179.0,9063.0,AO21x1_ASAP7_75t_R,0.634173,0.634001
335,B,6075,9063,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_399_,_161_,7.656349512719096e-12,6.386724482609907e-12,1.6595975982358624e-10,1.6915413514340116e-10,6.344629881794596e-16,0,0,0,0,cell1091,net215,335,335,_161_,7137.0,6075.0,10125.0,9063.0,AO21x1_ASAP7_75t_R,0.626818,0.634463
336,Y,6160,8992,0,False,0,0,False,4.6080001793458176e-14,3.1999999872134305e-10,0,_399_,_162_,1.9530698239234034e-11,6.386710604822099e-12,1.8246189281700964e-10,1.9015597430005468e-10,-1.0,0,0,0,0,cell1091,net216,336,336,_162_,7208.0,6160.0,10040.0,8992.0,AO21x1_ASAP7_75t_R,,
