,libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay,libcell_id,group_id,size_class,size_class2,size_cnt,min_size_cell
113,ICGx8DC_ASAP7_75t_R,62,700380,,,,,113,63,0,0,1,ICGx8DC_ASAP7_75t_R
114,INVx11_ASAP7_75t_R,36,189540,7.033919989160847e-15,0.0,9.34542981195774e-12,3.1535000305504823e-12,114,37,12,49,21,INVxp33_ASAP7_75t_R
115,INVx13_ASAP7_75t_R,36,218700,8.300959305508875e-15,0.0,9.841880782568424e-12,3.139238435173608e-12,115,37,13,49,21,INVxp33_ASAP7_75t_R
116,INVx1_ASAP7_75t_R,36,43740,6.837159952986068e-16,0.0,8.900522679988754e-12,8.900522679988754e-12,116,37,2,35,21,INVxp33_ASAP7_75t_R
117,INVx2_ASAP7_75t_R,36,58320,1.3204499317492145e-15,0.0,8.418038835444897e-12,4.975896431003157e-12,117,37,3,44,21,INVxp33_ASAP7_75t_R
118,INVx3_ASAP7_75t_R,36,72900,1.9594499989710823e-15,0.0,8.342396218274928e-12,3.9660726959545026e-12,118,37,4,47,21,INVxp33_ASAP7_75t_R
119,INVx4_ASAP7_75t_R,36,87480,2.593300211752763e-15,0.0,8.298457407351911e-12,3.4787112426770687e-12,119,37,5,48,21,INVxp33_ASAP7_75t_R
120,INVx5_ASAP7_75t_R,36,102060,3.2284201269223768e-15,0.0,8.477055862821103e-12,3.3154971823545765e-12,120,37,9,48,21,INVxp33_ASAP7_75t_R
121,INVx6_ASAP7_75t_R,36,116640,3.8665300683958e-15,0.0,8.541774058901108e-12,2.8928550093593186e-12,121,37,20,49,21,INVxp33_ASAP7_75t_R
122,INVx8_ASAP7_75t_R,36,145800,5.1213898979952585e-15,0.0,8.792192668360954e-12,2.9478177711317333e-12,122,37,18,49,21,INVxp33_ASAP7_75t_R
123,INVxp33_ASAP7_75t_R,36,43740,2.968530195793142e-16,0.0,1.1465462260162871e-11,2.3622818978719096e-11,123,37,0,0,21,INVxp33_ASAP7_75t_R
124,INVxp67_ASAP7_75t_R,36,43740,4.855009682786806e-16,0.0,9.500379649640678e-12,1.2637522105174435e-11,124,37,1,26,21,INVxp33_ASAP7_75t_R
125,MAJIxp5_ASAP7_75t_R,63,102060,1.2138299771509344e-15,0.0,2.401861522172144e-11,2.5006913206837567e-11,125,64,0,0,1,MAJIxp5_ASAP7_75t_R
126,MAJx2_ASAP7_75t_R,64,131220,1.220150007607754e-15,2.2569000834860018e-10,2.515373326295034e-11,2.5464625200144475e-11,126,65,1,49,2,MAJx3_ASAP7_75t_R
127,MAJx3_ASAP7_75t_R,64,145800,1.2254099763310848e-15,2.9312399729697347e-10,2.7737557042883942e-11,2.798497891753904e-11,127,65,0,0,2,MAJx3_ASAP7_75t_R
128,NAND2x1_ASAP7_75t_R,65,87480,1.0628999291367692e-15,0.0,1.7816423683592042e-11,1.3203270941841703e-11,128,66,3,39,6,NAND2xp33_ASAP7_75t_R
129,NAND2x1p5_ASAP7_75t_R,65,116640,1.641530052383692e-15,0.0,1.5959466387327478e-11,9.128598051078018e-12,129,66,4,49,6,NAND2xp33_ASAP7_75t_R
130,NAND2x2_ASAP7_75t_R,65,145800,2.1830999430893974e-15,0.0,1.743201416548601e-11,8.922144273393329e-12,130,66,5,49,6,NAND2xp33_ASAP7_75t_R
131,NAND2xp33_ASAP7_75t_R,65,58320,3.708249891981835e-16,0.0,1.758092629811081e-11,2.9055407385625287e-11,131,66,0,0,6,NAND2xp33_ASAP7_75t_R
132,NAND2xp5_ASAP7_75t_R,65,58320,5.641689944362461e-16,0.0,1.307277203155266e-11,1.5789947474531548e-11,132,66,2,32,6,NAND2xp33_ASAP7_75t_R
133,NAND2xp67_ASAP7_75t_R,65,87480,8.0647097463001535e-16,0.0,2.0114921880920456e-11,1.7881352648574378e-11,133,66,1,27,6,NAND2xp33_ASAP7_75t_R
134,NAND3x1_ASAP7_75t_R,66,160380,1.390360007809085e-15,0.0,2.5469414771661647e-11,1.681320534185904e-11,134,67,1,31,3,NAND3xp33_ASAP7_75t_R
135,NAND3x2_ASAP7_75t_R,66,291600,2.832329944852611e-15,0.0,2.6010037873502867e-11,1.2605849523950052e-11,135,67,2,49,3,NAND3xp33_ASAP7_75t_R
136,NAND3xp33_ASAP7_75t_R,66,72900,5.558059734502084e-16,0.0,2.045280611540079e-11,2.3812859670235828e-11,136,67,0,0,3,NAND3xp33_ASAP7_75t_R
137,NAND4xp25_ASAP7_75t_R,67,87480,5.546180097416842e-16,0.0,2.8335282037383888e-11,3.277335000606563e-11,137,68,0,0,2,NAND4xp25_ASAP7_75t_R
138,NAND4xp75_ASAP7_75t_R,67,204120,1.6042300036392832e-15,0.0,2.8583102898438465e-11,1.7565282561804452e-11,138,68,1,49,2,NAND4xp25_ASAP7_75t_R
139,NAND5xp2_ASAP7_75t_R,68,102060,5.504140264057835e-16,0.0,3.606479004325536e-11,4.173963952247561e-11,139,69,0,0,1,NAND5xp2_ASAP7_75t_R
140,NOR2x1_ASAP7_75t_R,69,87480,1.0873700757082357e-15,0.0,1.699796206566795e-11,1.2715408587160582e-11,140,70,2,39,5,NOR2xp33_ASAP7_75t_R
141,NOR2x1p5_ASAP7_75t_R,69,116640,1.6439700366673764e-15,0.0,1.7353337516956557e-11,9.94199427645226e-12,141,70,3,46,5,NOR2xp33_ASAP7_75t_R
142,NOR2x2_ASAP7_75t_R,69,145800,2.1929299722005203e-15,0.0,1.6631666530098066e-11,8.512193554188752e-12,142,70,4,49,5,NOR2xp33_ASAP7_75t_R
143,NOR2xp33_ASAP7_75t_R,69,58320,3.7268200305592015e-16,0.0,1.6859180718142852e-11,2.8802181126219573e-11,143,70,0,0,5,NOR2xp33_ASAP7_75t_R
144,NOR2xp67_ASAP7_75t_R,69,87480,8.101099869900973e-16,0.0,1.9076937946005398e-11,1.7246953865068804e-11,144,70,1,28,5,NOR2xp33_ASAP7_75t_R
145,NOR3x1_ASAP7_75t_R,70,160380,1.4109900246350553e-15,0.0,2.4167234186078798e-11,1.5124772961838673e-11,145,71,1,40,3,NOR3xp33_ASAP7_75t_R
146,NOR3x2_ASAP7_75t_R,70,291600,2.853060017445476e-15,0.0,2.373411363276734e-11,1.1099012334203628e-11,146,71,2,49,3,NOR3xp33_ASAP7_75t_R
147,NOR3xp33_ASAP7_75t_R,70,72900,5.573319562442462e-16,0.0,2.8017867539920083e-11,3.260398201421211e-11,147,71,0,0,3,NOR3xp33_ASAP7_75t_R
148,NOR4xp25_ASAP7_75t_R,71,87480,5.566959933195358e-16,0.0,3.972405737684426e-11,4.587164675884381e-11,148,72,0,0,2,NOR4xp25_ASAP7_75t_R
149,NOR4xp75_ASAP7_75t_R,71,204120,1.6098899836719549e-15,0.0,3.957243560614998e-11,2.4137459392337132e-11,149,72,1,49,2,NOR4xp25_ASAP7_75t_R
150,NOR5xp2_ASAP7_75t_R,72,102060,5.538770147315143e-16,0.0,5.145464263001109e-11,5.932526692120632e-11,150,73,0,0,1,NOR5xp2_ASAP7_75t_R
151,O2A1O1Ixp33_ASAP7_75t_R,73,87480,6.146950391355573e-16,0.0,2.566772662471184e-11,2.8373388707980677e-11,151,74,0,0,1,O2A1O1Ixp33_ASAP7_75t_R
152,O2A1O1Ixp5_ASAP7_75t_R,74,116640,9.728909259088569e-16,0.0,2.583997078808853e-11,2.0556388188874838e-11,152,75,0,0,1,O2A1O1Ixp5_ASAP7_75t_R
153,OA211x2_ASAP7_75t_R,75,116640,5.704190387957988e-16,9.566459430176975e-11,2.7071711192205857e-11,2.821650552098376e-11,153,76,0,0,1,OA211x2_ASAP7_75t_R
154,OA21x2_ASAP7_75t_R,76,102060,6.484900126046684e-16,9.907330511538247e-11,1.7709471042404168e-11,1.8161663145610518e-11,154,77,0,0,1,OA21x2_ASAP7_75t_R
155,OA221x2_ASAP7_75t_R,77,233280,1.0250100278237162e-15,1.0436599501284503e-10,2.971440107857326e-11,2.796693779338888e-11,155,78,0,0,1,OA221x2_ASAP7_75t_R
156,OA222x2_ASAP7_75t_R,78,174960,6.528479971182918e-16,9.98988045064486e-11,2.7926836190794724e-11,2.8193917686603065e-11,156,79,0,0,1,OA222x2_ASAP7_75t_R
157,OA22x2_ASAP7_75t_R,79,145800,6.495910495569806e-16,1.0417899876102864e-10,1.948771699566976e-11,1.9996148833967275e-11,157,80,0,0,1,OA22x2_ASAP7_75t_R
158,OA31x2_ASAP7_75t_R,80,218700,1.1586899322296924e-15,1.267460025822231e-10,2.4519584279625303e-11,2.2690188269947065e-11,158,81,0,0,1,OA31x2_ASAP7_75t_R
159,OA331x1_ASAP7_75t_R,81,145800,6.69695005983147e-16,5.524340013218776e-11,3.12137815594582e-11,3.2293456103671396e-11,159,82,1,49,2,OA331x2_ASAP7_75t_R
160,OA331x2_ASAP7_75t_R,81,160380,6.678779614926089e-16,7.468759638529221e-11,3.2029223023810616e-11,3.27409800660039e-11,160,82,0,0,2,OA331x2_ASAP7_75t_R
161,OA332x1_ASAP7_75t_R,82,160380,6.54797019929924e-16,8.362229658720466e-11,3.364317505138992e-11,3.471124429554884e-11,161,83,1,49,2,OA332x2_ASAP7_75t_R
162,OA332x2_ASAP7_75t_R,82,174960,6.546630299055803e-16,1.030669993795641e-10,3.4381365809910136e-11,3.510470039658209e-11,162,83,0,0,2,OA332x2_ASAP7_75t_R
163,OA333x1_ASAP7_75t_R,83,174960,6.549660030029012e-16,1.1095999813415247e-10,3.730878800345394e-11,3.769545092735527e-11,163,84,1,49,2,OA333x2_ASAP7_75t_R
164,OA333x2_ASAP7_75t_R,83,189540,6.540179613766868e-16,1.3040400703712152e-10,3.7665429802880006e-11,3.793632422088855e-11,164,84,0,0,2,OA333x2_ASAP7_75t_R
165,OA33x2_ASAP7_75t_R,84,145800,6.488839888042601e-16,1.3682499577782892e-10,3.045374369348153e-11,3.134734832821451e-11,165,85,0,0,1,OA33x2_ASAP7_75t_R
166,OAI211xp5_ASAP7_75t_R,85,87480,5.697960460630932e-16,0.0,2.2603465973936032e-11,2.7302757277247736e-11,166,86,0,0,1,OAI211xp5_ASAP7_75t_R
167,OAI21x1_ASAP7_75t_R,86,116640,1.378890017032959e-15,0.0,1.725610106195763e-11,1.160558021212621e-11,167,87,2,49,3,OAI21xp33_ASAP7_75t_R
168,OAI21xp33_ASAP7_75t_R,86,72900,4.657989819255457e-16,0.0,1.7857437750734562e-11,2.5323665039933552e-11,168,87,0,0,3,OAI21xp33_ASAP7_75t_R
169,OAI21xp5_ASAP7_75t_R,86,72900,6.479370059692298e-16,0.0,1.6642902334051968e-11,1.8141255858639127e-11,169,87,1,26,3,OAI21xp33_ASAP7_75t_R
170,OAI221xp5_ASAP7_75t_R,87,102060,5.676959866890538e-16,0.0,2.583095022601345e-11,3.072899226741477e-11,170,88,0,0,1,OAI221xp5_ASAP7_75t_R
171,OAI222xp33_ASAP7_75t_R,88,145800,6.547880202048594e-16,0.0,2.555789087310689e-11,2.621850132833448e-11,171,89,0,0,1,OAI222xp33_ASAP7_75t_R
172,OAI22x1_ASAP7_75t_R,89,145800,1.335190104976452e-15,0.0,1.8177874136493518e-11,1.3080379661356556e-11,172,90,2,49,3,OAI22xp33_ASAP7_75t_R
173,OAI22xp33_ASAP7_75t_R,89,87480,4.890129786362337e-16,0.0,2.017863480474613e-11,2.696390333234433e-11,173,90,0,0,3,OAI22xp33_ASAP7_75t_R
174,OAI22xp5_ASAP7_75t_R,89,87480,6.482139857429819e-16,0.0,1.813357797253445e-11,1.9718523688871947e-11,174,90,1,26,3,OAI22xp33_ASAP7_75t_R
175,OAI311xp33_ASAP7_75t_R,90,102060,6.187189750306071e-16,0.0,2.8469081259085982e-11,3.04370868786652e-11,175,91,0,0,1,OAI311xp33_ASAP7_75t_R
176,OAI31xp33_ASAP7_75t_R,91,87480,5.499410114443012e-16,0.0,2.2975898961163918e-11,2.701178343500477e-11,176,92,0,0,2,OAI31xp33_ASAP7_75t_R
177,OAI31xp67_ASAP7_75t_R,91,189540,1.242249944234566e-15,0.0,2.633700549314888e-11,1.7845431729557326e-11,177,92,1,49,2,OAI31xp33_ASAP7_75t_R
178,OAI321xp33_ASAP7_75t_R,92,116640,6.063860164999069e-16,0.0,2.9958670960672507e-11,3.2301928493128074e-11,178,93,0,0,1,OAI321xp33_ASAP7_75t_R
179,OAI322xp33_ASAP7_75t_R,93,131220,6.116619729701171e-16,0.0,3.225043843091413e-11,3.4443305846343364e-11,179,94,0,0,1,OAI322xp33_ASAP7_75t_R
180,OAI32xp33_ASAP7_75t_R,94,102060,5.327450250051772e-16,0.0,2.450554342781075e-11,2.9062795572909472e-11,180,95,0,0,1,OAI32xp33_ASAP7_75t_R
181,OAI331xp33_ASAP7_75t_R,95,131220,6.683949692277893e-16,0.0,3.180091259769036e-11,3.418641064678596e-11,181,96,0,0,1,OAI331xp33_ASAP7_75t_R
182,OAI332xp33_ASAP7_75t_R,96,145800,6.537169999826155e-16,0.0,3.3820248684923726e-11,3.617999996818888e-11,182,97,0,0,1,OAI332xp33_ASAP7_75t_R
183,OAI333xp33_ASAP7_75t_R,97,160380,6.53139005875233e-16,0.0,3.77248093874627e-11,3.865274419978526e-11,183,98,0,0,1,OAI333xp33_ASAP7_75t_R
