src,tar,src_type,tar_type
_16356_/B1,_16356_,pin,cell
_16356_/B2,_16356_,pin,cell
_16356_/B3,_16356_,pin,cell
_16356_,_16356_/ZN,cell,pin
_16357_/A1,_16357_,pin,cell
_16357_/A2,_16357_,pin,cell
_16357_,_16357_/ZN,cell,pin
_16358_/A,_16358_,pin,cell
_16358_/B1,_16358_,pin,cell
_16358_/B2,_16358_,pin,cell
_16358_/C1,_16358_,pin,cell
_16358_/C2,_16358_,pin,cell
_16358_,_16358_/ZN,cell,pin
_16359_/A,_16359_,pin,cell
_16359_,_16359_/Z,cell,pin
_16360_/A1,_16360_,pin,cell
_16360_/A2,_16360_,pin,cell
_16360_/A3,_16360_,pin,cell
_16360_,_16360_/ZN,cell,pin
_16361_/A,_16361_,pin,cell
_16361_,_16361_/Z,cell,pin
_16362_/A,_16362_,pin,cell
_16362_,_16362_/Z,cell,pin
_16363_/A,_16363_,pin,cell
_16363_/B1,_16363_,pin,cell
_16363_/B2,_16363_,pin,cell
_16363_,_16363_/ZN,cell,pin
_16364_/A1,_16364_,pin,cell
_16364_/A2,_16364_,pin,cell
_16364_/A3,_16364_,pin,cell
_16364_,_16364_/ZN,cell,pin
_16365_/A,_16365_,pin,cell
_16365_,_16365_/Z,cell,pin
_16366_/A1,_16366_,pin,cell
_16366_/A2,_16366_,pin,cell
_16366_,_16366_/ZN,cell,pin
_16367_/A1,_16367_,pin,cell
_16367_/A2,_16367_,pin,cell
_16367_/A3,_16367_,pin,cell
_16367_,_16367_/ZN,cell,pin
_16368_/A1,_16368_,pin,cell
_16368_/A2,_16368_,pin,cell
_16368_/A3,_16368_,pin,cell
_16368_,_16368_/ZN,cell,pin
_16369_/A,_16369_,pin,cell
_16369_/B1,_16369_,pin,cell
_16369_/B2,_16369_,pin,cell
_16369_,_16369_/ZN,cell,pin
_16370_/A,_16370_,pin,cell
_16370_,_16370_/Z,cell,pin
_16371_/A,_16371_,pin,cell
_16371_,_16371_/Z,cell,pin
_16372_/A,_16372_,pin,cell
_16372_,_16372_/Z,cell,pin
_16373_/A,_16373_,pin,cell
_16373_,_16373_/ZN,cell,pin
_16374_/A,_16374_,pin,cell
_16374_,_16374_/Z,cell,pin
_16375_/A,_16375_,pin,cell
_16375_,_16375_/Z,cell,pin
_16376_/A,_16376_,pin,cell
_16376_,_16376_/Z,cell,pin
_16377_/A,_16377_,pin,cell
_16377_,_16377_/Z,cell,pin
_16378_/A,_16378_,pin,cell
_16378_,_16378_/Z,cell,pin
_16379_/A,_16379_,pin,cell
_16379_/B,_16379_,pin,cell
_16379_/S,_16379_,pin,cell
_16379_,_16379_/Z,cell,pin
_16380_/A,_16380_,pin,cell
_16380_/B,_16380_,pin,cell
_16380_/S,_16380_,pin,cell
_16380_,_16380_/Z,cell,pin
_16381_/A,_16381_,pin,cell
_16381_,_16381_/Z,cell,pin
_16382_/A,_16382_,pin,cell
_16382_,_16382_/Z,cell,pin
_16383_/A,_16383_,pin,cell
_16383_,_16383_/Z,cell,pin
_16384_/A,_16384_,pin,cell
_16384_,_16384_/Z,cell,pin
_16385_/A,_16385_,pin,cell
_16385_/B,_16385_,pin,cell
_16385_/S,_16385_,pin,cell
_16385_,_16385_/Z,cell,pin
_16386_/A,_16386_,pin,cell
_16386_/B,_16386_,pin,cell
_16386_/S,_16386_,pin,cell
_16386_,_16386_/Z,cell,pin
_16387_/A,_16387_,pin,cell
_16387_,_16387_/Z,cell,pin
_16388_/A,_16388_,pin,cell
_16388_,_16388_/Z,cell,pin
_16389_/A,_16389_,pin,cell
_16389_/B,_16389_,pin,cell
_16389_/S,_16389_,pin,cell
_16389_,_16389_/Z,cell,pin
_16390_/A,_16390_,pin,cell
_16390_/B,_16390_,pin,cell
_16390_/S,_16390_,pin,cell
_16390_,_16390_/Z,cell,pin
_16391_/A,_16391_,pin,cell
_16391_,_16391_/Z,cell,pin
_16392_/A,_16392_,pin,cell
_16392_,_16392_/Z,cell,pin
_16393_/A,_16393_,pin,cell
_16393_,_16393_/Z,cell,pin
_16394_/A,_16394_,pin,cell
_16394_,_16394_/ZN,cell,pin
_16395_/A,_16395_,pin,cell
_16395_,_16395_/Z,cell,pin
_16396_/A,_16396_,pin,cell
_16396_,_16396_/Z,cell,pin
_16397_/A,_16397_,pin,cell
_16397_/B,_16397_,pin,cell
_16397_/S,_16397_,pin,cell
_16397_,_16397_/Z,cell,pin
_16398_/A,_16398_,pin,cell
_16398_/B,_16398_,pin,cell
_16398_/S,_16398_,pin,cell
_16398_,_16398_/Z,cell,pin
_16399_/A,_16399_,pin,cell
_16399_/B,_16399_,pin,cell
_16399_/S,_16399_,pin,cell
_16399_,_16399_/Z,cell,pin
_16400_/A,_16400_,pin,cell
_16400_/B,_16400_,pin,cell
_16400_/S,_16400_,pin,cell
_16400_,_16400_/Z,cell,pin
_16401_/A,_16401_,pin,cell
_16401_/B,_16401_,pin,cell
_16401_/S,_16401_,pin,cell
_16401_,_16401_/Z,cell,pin
_16402_/A,_16402_,pin,cell
_16402_/B,_16402_,pin,cell
_16402_/S,_16402_,pin,cell
_16402_,_16402_/Z,cell,pin
_16403_/A,_16403_,pin,cell
_16403_,_16403_/Z,cell,pin
_16404_/A,_16404_,pin,cell
_16404_,_16404_/Z,cell,pin
_16405_/A,_16405_,pin,cell
_16405_/B,_16405_,pin,cell
_16405_/S,_16405_,pin,cell
_16405_,_16405_/Z,cell,pin
_16406_/A,_16406_,pin,cell
_16406_/B,_16406_,pin,cell
_16406_/S,_16406_,pin,cell
_16406_,_16406_/Z,cell,pin
_16407_/A,_16407_,pin,cell
_16407_,_16407_/Z,cell,pin
_16408_/A,_16408_,pin,cell
_16408_,_16408_/Z,cell,pin
_16409_/A,_16409_,pin,cell
_16409_,_16409_/Z,cell,pin
_16410_/A,_16410_,pin,cell
_16410_/B,_16410_,pin,cell
_16410_/S,_16410_,pin,cell
_16410_,_16410_/Z,cell,pin
_16411_/A,_16411_,pin,cell
_16411_/B,_16411_,pin,cell
_16411_/S,_16411_,pin,cell
_16411_,_16411_/Z,cell,pin
_16412_/A,_16412_,pin,cell
_16412_/B,_16412_,pin,cell
_16412_/S,_16412_,pin,cell
_16412_,_16412_/Z,cell,pin
_16413_/A,_16413_,pin,cell
_16413_/B,_16413_,pin,cell
_16413_/S,_16413_,pin,cell
_16413_,_16413_/Z,cell,pin
_16414_/A,_16414_,pin,cell
_16414_/B,_16414_,pin,cell
_16414_/S,_16414_,pin,cell
_16414_,_16414_/Z,cell,pin
_16415_/A,_16415_,pin,cell
_16415_,_16415_/Z,cell,pin
_16416_/A,_16416_,pin,cell
_16416_,_16416_/Z,cell,pin
_16417_/A1,_16417_,pin,cell
_16417_/A2,_16417_,pin,cell
_16417_,_16417_/ZN,cell,pin
_16418_/A,_16418_,pin,cell
_16418_,_16418_/ZN,cell,pin
_16419_/A,_16419_,pin,cell
_16419_,_16419_/Z,cell,pin
_16420_/A,_16420_,pin,cell
_16420_,_16420_/Z,cell,pin
_16421_/A,_16421_,pin,cell
_16421_/B,_16421_,pin,cell
_16421_/S,_16421_,pin,cell
_16421_,_16421_/Z,cell,pin
_16422_/A,_16422_,pin,cell
_16422_/B,_16422_,pin,cell
_16422_/S,_16422_,pin,cell
_16422_,_16422_/Z,cell,pin
_16423_/A,_16423_,pin,cell
_16423_/B,_16423_,pin,cell
_16423_/S,_16423_,pin,cell
_16423_,_16423_/Z,cell,pin
_16424_/A,_16424_,pin,cell
_16424_/B,_16424_,pin,cell
_16424_/S,_16424_,pin,cell
_16424_,_16424_/Z,cell,pin
_16425_/A,_16425_,pin,cell
_16425_/B,_16425_,pin,cell
_16425_/S,_16425_,pin,cell
_16425_,_16425_/Z,cell,pin
_16426_/A,_16426_,pin,cell
_16426_/B,_16426_,pin,cell
_16426_/S,_16426_,pin,cell
_16426_,_16426_/Z,cell,pin
_16427_/A,_16427_,pin,cell
_16427_/B,_16427_,pin,cell
_16427_/S,_16427_,pin,cell
_16427_,_16427_/Z,cell,pin
_16428_/A,_16428_,pin,cell
_16428_/B,_16428_,pin,cell
_16428_/S,_16428_,pin,cell
_16428_,_16428_/Z,cell,pin
_16429_/A,_16429_,pin,cell
_16429_/B,_16429_,pin,cell
_16429_/S,_16429_,pin,cell
_16429_,_16429_/Z,cell,pin
_16430_/A,_16430_,pin,cell
_16430_/B,_16430_,pin,cell
_16430_/S,_16430_,pin,cell
_16430_,_16430_/Z,cell,pin
_16431_/A,_16431_,pin,cell
_16431_,_16431_/Z,cell,pin
_16432_/A,_16432_,pin,cell
_16432_,_16432_/ZN,cell,pin
_16433_/A,_16433_,pin,cell
_16433_,_16433_/Z,cell,pin
_16434_/A,_16434_,pin,cell
_16434_,_16434_/Z,cell,pin
_16435_/A,_16435_,pin,cell
_16435_/B,_16435_,pin,cell
_16435_/S,_16435_,pin,cell
_16435_,_16435_/Z,cell,pin
_16436_/A1,_16436_,pin,cell
_16436_/A2,_16436_,pin,cell
_16436_,_16436_/ZN,cell,pin
_16437_/A,_16437_,pin,cell
_16437_,_16437_/Z,cell,pin
_16438_/A,_16438_,pin,cell
_16438_,_16438_/Z,cell,pin
_16439_/A,_16439_,pin,cell
_16439_/B,_16439_,pin,cell
_16439_/S,_16439_,pin,cell
_16439_,_16439_/Z,cell,pin
_16440_/A,_16440_,pin,cell
_16440_/B1,_16440_,pin,cell
_16440_/B2,_16440_,pin,cell
_16440_,_16440_/ZN,cell,pin
_16441_/A,_16441_,pin,cell
_16441_,_16441_/ZN,cell,pin
_16442_/A1,_16442_,pin,cell
_16442_/A2,_16442_,pin,cell
_16442_,_16442_/ZN,cell,pin
_16443_/A1,_16443_,pin,cell
_16443_/A2,_16443_,pin,cell
_16443_/A3,_16443_,pin,cell
_16443_,_16443_/ZN,cell,pin
_16444_/A1,_16444_,pin,cell
_16444_/A2,_16444_,pin,cell
_16444_,_16444_/ZN,cell,pin
_16445_/A,_16445_,pin,cell
_16445_,_16445_/Z,cell,pin
_16446_/A,_16446_,pin,cell
_16446_,_16446_/Z,cell,pin
_16447_/A,_16447_,pin,cell
_16447_,_16447_/Z,cell,pin
_16448_/A,_16448_,pin,cell
_16448_,_16448_/Z,cell,pin
_16449_/A,_16449_,pin,cell
_16449_,_16449_/Z,cell,pin
_16450_/A,_16450_,pin,cell
_16450_,_16450_/Z,cell,pin
_16451_/A,_16451_,pin,cell
_16451_,_16451_/Z,cell,pin
_16452_/A,_16452_,pin,cell
_16452_/B,_16452_,pin,cell
_16452_/S,_16452_,pin,cell
_16452_,_16452_/Z,cell,pin
_16453_/A,_16453_,pin,cell
_16453_,_16453_/Z,cell,pin
_16454_/A,_16454_,pin,cell
_16454_,_16454_/Z,cell,pin
_16455_/A,_16455_,pin,cell
_16455_,_16455_/Z,cell,pin
_16456_/A,_16456_,pin,cell
_16456_,_16456_/Z,cell,pin
_16457_/A,_16457_,pin,cell
_16457_/B,_16457_,pin,cell
_16457_/S,_16457_,pin,cell
_16457_,_16457_/Z,cell,pin
_16458_/A,_16458_,pin,cell
_16458_,_16458_/Z,cell,pin
_16459_/A,_16459_,pin,cell
_16459_,_16459_/Z,cell,pin
_16460_/A,_16460_,pin,cell
_16460_,_16460_/Z,cell,pin
_16461_/A,_16461_,pin,cell
_16461_,_16461_/Z,cell,pin
_16462_/A,_16462_,pin,cell
_16462_/B,_16462_,pin,cell
_16462_/S,_16462_,pin,cell
_16462_,_16462_/Z,cell,pin
_16463_/A,_16463_,pin,cell
_16463_/B,_16463_,pin,cell
_16463_/S,_16463_,pin,cell
_16463_,_16463_/Z,cell,pin
_16464_/A,_16464_,pin,cell
_16464_/B,_16464_,pin,cell
_16464_/S,_16464_,pin,cell
_16464_,_16464_/Z,cell,pin
_16465_/A,_16465_,pin,cell
_16465_/B,_16465_,pin,cell
_16465_/S,_16465_,pin,cell
_16465_,_16465_/Z,cell,pin
_16466_/A,_16466_,pin,cell
_16466_,_16466_/Z,cell,pin
_16467_/A,_16467_,pin,cell
_16467_,_16467_/Z,cell,pin
_16468_/A,_16468_,pin,cell
_16468_,_16468_/Z,cell,pin
_16469_/A,_16469_,pin,cell
_16469_,_16469_/Z,cell,pin
_16470_/A,_16470_,pin,cell
_16470_,_16470_/ZN,cell,pin
_16471_/A,_16471_,pin,cell
_16471_,_16471_/Z,cell,pin
_16472_/A,_16472_,pin,cell
_16472_,_16472_/Z,cell,pin
_16473_/A,_16473_,pin,cell
_16473_/B,_16473_,pin,cell
_16473_/S,_16473_,pin,cell
_16473_,_16473_/Z,cell,pin
_16474_/A,_16474_,pin,cell
_16474_/B,_16474_,pin,cell
_16474_/S,_16474_,pin,cell
_16474_,_16474_/Z,cell,pin
_16475_/A,_16475_,pin,cell
_16475_/B,_16475_,pin,cell
_16475_/S,_16475_,pin,cell
