cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
_21322_,0,0,0,335540,470400,336300,473200,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21323_,0,0,0,351880,442400,352640,445200,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21324_,0,0,0,324900,473200,325660,476000,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21325_,0,0,0,342760,414400,343520,417200,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21326_,0,0,0,330600,414400,331360,417200,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21327_,0,0,0,308180,473200,308940,476000,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21328_,0,0,0,324520,411600,325280,414400,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21329_,0,0,0,296400,473200,297160,476000,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21330_,0,0,0,313500,411600,314260,414400,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21331_,0,0,0,290700,462000,291460,464800,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21332_,0,0,0,296780,453600,297540,456400,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21333_,0,0,0,308560,414400,309320,417200,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21334_,0,0,0,278160,464800,278920,467600,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21335_,0,0,0,289180,456400,289940,459200,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21336_,0,0,0,301340,411600,302100,414400,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21337_,0,0,0,269800,462000,270560,464800,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21338_,0,0,0,294880,411600,295640,414400,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21339_,0,0,0,284620,406000,285380,408800,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21340_,0,0,0,260300,459200,261060,462000,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21341_,0,0,0,280440,406000,281200,408800,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21342_,0,0,0,247760,436800,248520,439600,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21343_,0,0,0,272460,406000,273220,408800,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21344_,0,0,0,266760,428400,267520,431200,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21345_,0,0,0,290700,411600,291840,414400,0,0,0,NAND2_X1,2.4799454934054666e-08,0.0
_21346_,0,0,0,289180,411600,290700,414400,0,0,0,OAI21_X1,4.818306464926536e-08,0.0
_21347_,0,0,0,251560,406000,252320,408800,0,0,1,INV_X1,1.8604144003120382e-08,0.0
_21348_,0,0,0,254220,369600,256880,372400,0,1,0,BUF_X4,8.106410831487665e-08,2.3646189220016822e-05
_21349_,0,0,0,360240,280000,361000,282800,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21350_,0,0,0,362520,310800,363280,313600,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21351_,0,0,0,321860,310800,322620,313600,0,0,1,INV_X1,1.1525536969259065e-08,2.855101001841831e-06
_21352_,0,0,0,318820,308000,319580,310800,0,0,1,INV_X1,1.1525536969259065e-08,2.819692781486083e-06
_21353_,0,0,0,358720,274400,359480,277200,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21354_,0,0,0,360620,285600,361380,288400,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21355_,0,0,0,340860,308000,341620,310800,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21356_,0,0,0,444220,445200,444980,448000,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21357_,0,0,0,437000,445200,437760,448000,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21358_,0,0,0,418760,450800,419520,453600,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21359_,0,0,0,429400,456400,430160,459200,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21360_,0,0,0,409640,459200,410400,462000,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21361_,0,0,0,419520,459200,420280,462000,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21362_,0,0,0,405080,456400,405840,459200,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21363_,0,0,0,279300,406000,280060,408800,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21364_,0,0,0,446120,394800,446880,397600,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21365_,0,0,0,440800,417200,441560,420000,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21366_,0,0,0,437000,425600,437760,428400,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21367_,0,0,0,423320,428400,424080,431200,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21368_,0,0,0,422560,434000,423320,436800,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21369_,0,0,0,429400,450800,430160,453600,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21370_,0,0,0,411160,428400,411920,431200,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21371_,0,0,0,399000,425600,399760,428400,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21372_,0,0,0,399000,428400,399760,431200,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21373_,0,0,0,414960,464800,415720,467600,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21374_,0,0,0,387600,428400,388360,431200,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21375_,0,0,0,391020,462000,391780,464800,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21376_,0,0,0,401660,470400,402420,473200,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21377_,0,0,0,380000,434000,380760,436800,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21378_,0,0,0,374300,431200,375060,434000,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21379_,0,0,0,364800,467600,365560,470400,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21380_,0,0,0,381520,439600,382280,442400,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21381_,0,0,0,372400,436800,373160,439600,0,0,1,INV_X1,1.0102223946262257e-08,0.0
_21382_,0,0,0,231800,176400,234460,179200,0,1,0,BUF_X4,7.762292852930841e-08,0.0
_21383_,0,0,0,235980,173600,238640,176400,0,1,0,BUF_X4,9.462068106813604e-08,0.0
_21384_,0,0,0,178980,243600,180880,246400,0,0,0,NAND2_X2,8.170060183942951e-09,0.0
_21385_,0,0,0,174800,254800,178220,257600,0,0,0,NOR2_X4,1.1833186164267318e-07,0.0
_21386_,0,0,0,272840,238000,274360,240800,0,0,0,NAND3_X1,3.760507016892234e-09,0.0
_21387_,0,0,0,296400,182000,299820,184800,0,0,0,OAI211_X2,1.0706519759651201e-07,0.0
_21388_,0,0,0,294500,179200,297160,182000,0,0,0,OAI21_X2,6.978916644584388e-08,0.0
_21389_,0,0,0,267520,210000,270180,212800,0,0,0,OAI33_X1,3.7518599782515594e-08,0.0
_21390_,0,0,0,275120,215600,276640,218400,0,0,0,NAND3_X1,4.208918991110977e-09,0.0
_21391_,0,0,0,277400,243600,278920,246400,0,0,0,AOI21_X1,4.433031008943544e-08,0.0
_21392_,0,0,0,242820,243600,245100,246400,0,0,0,AND4_X1,2.840724455666077e-08,1.0900018878601259e-06
_21393_,0,0,0,245100,243600,246620,246400,0,0,0,OR2_X1,2.7234531074782353e-08,1.547736928841914e-06
_21394_,0,0,0,232940,243600,235600,246400,0,1,0,BUF_X4,9.242636167527962e-08,8.847188837535214e-06
_21395_,0,0,0,218880,252000,220780,254800,0,0,0,AND3_X1,2.0356674568233757e-08,0.0
_21396_,0,0,0,222680,249200,225340,252000,0,1,0,BUF_X4,9.462068106813604e-08,0.0
_21397_,0,0,0,182780,257600,186200,260400,0,0,0,NAND2_X4,1.3930178788257308e-08,0.0
_21398_,0,0,0,182400,196000,185060,198800,0,1,0,BUF_X4,7.762292852930841e-08,0.0
_21399_,0,0,0,188860,375200,190000,378000,0,0,0,NAND2_X1,2.4799454934054666e-08,0.0
_21400_,0,0,0,273220,243600,275120,246400,0,0,0,NAND2_X2,7.441246907546883e-08,0.0
_21401_,0,0,0,273220,288400,275120,291200,0,0,0,AND3_X1,2.046358993368358e-08,0.0
